46,10,
10,1,2,3,4,5,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,11,12,13,14,15,16,17,18,19,20,21,22,23,24,42,43,44,45,46,6,7,8,9,10,
1,1,2,3,4,5,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,24,23,22,21,20,19,18,17,16,15,14,13,12,11,42,43,44,45,46,10,9,8,7,6,
3,1,2,3,4,5,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,
13,1,2,3,4,5,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
2,1,2,3,4,5,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
27,1,2,3,4,5,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,11,12,13,14,15,16,17,18,19,20,21,22,23,24,6,7,8,9,10,
1,1,2,3,4,5,25,26,27,28,29,30,31,32,33,34,35,36,42,37,38,39,40,41,
3,1,2,3,4,5,25,26,27,28,29,30,31,32,33,34,35,36,42,43,44,45,46,
1,1,2,3,4,5,25,26,27,28,29,30,31,32,33,34,35,36,42,43,44,45,46,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,37,38,39,40,41,
1,1,2,3,4,5,25,26,27,28,29,30,31,32,33,34,35,36,42,43,44,45,46,11,12,13,14,15,16,17,18,19,20,21,22,23,24,6,7,8,9,10,
1,1,2,3,4,5,25,26,27,28,29,30,31,32,33,34,35,36,42,43,44,45,46,11,12,13,14,15,16,17,18,19,20,21,22,23,24,6,7,8,9,10,37,38,39,40,41,
4,1,2,3,4,5,25,26,27,28,29,30,31,32,33,34,35,36,42,43,44,45,46,11,12,13,14,15,16,17,18,19,20,21,22,23,24,37,38,39,40,41,6,7,8,9,10,
2,1,2,3,4,5,25,26,27,28,29,30,31,32,33,34,35,36,42,43,44,45,46,37,38,39,40,41,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
10,1,2,3,4,5,25,26,27,28,29,30,31,32,33,34,35,36,42,43,44,45,46,37,38,39,40,41,11,12,13,14,15,16,17,18,19,20,21,22,23,24,6,7,8,9,10,
16,1,2,3,4,5,25,26,27,28,29,30,37,38,39,40,41,
1,1,2,3,4,5,25,26,27,28,29,30,37,38,39,40,41,6,7,8,9,10,42,43,44,45,46,
1,1,2,3,4,5,25,26,27,28,29,30,37,38,39,40,41,6,7,8,9,10,42,43,44,45,46,11,12,13,14,15,16,17,18,19,20,21,22,23,24,31,32,33,34,35,36,
1,1,2,3,4,5,25,26,27,28,29,30,37,38,39,40,41,11,12,13,14,15,16,17,18,19,20,21,22,23,24,31,32,33,34,35,36,6,7,8,9,10,42,43,44,45,46,
1,1,2,3,4,5,25,26,27,28,29,30,37,38,39,40,41,11,12,13,14,15,16,17,18,19,20,21,22,23,24,42,43,44,45,46,6,7,8,9,10,
