9,3
167,1
1,1,2
2,1,2,9
1,1,3,8
3,1,3,9
1,1,5
1,1,5,2
1,1,5,3
1,1,5,4
2,1,6
1,1,6,2
2,1,6,5
1,1,7,2
1,1,7,6
1,1,8
1,1,8,4
3,1,9
1,1,9,2
1,1,9,3
1,1,9,6
1,1,9,8
1484,2
6,2,1
1,2,1,4
35,2,3
22,2,3,4
17,2,3,5
26,2,3,6
22,2,3,7
15,2,3,8
176,2,3,9
10,2,4
19,2,4,3
12,2,4,5
15,2,4,6
11,2,4,7
14,2,4,8
27,2,4,9
90,2,5
1,2,5,1
13,2,5,3
12,2,5,4
82,2,5,6
593,2,5,7
11,2,5,8
227,2,5,9
187,2,6
3,2,6,1
58,2,6,3
20,2,6,4
77,2,6,5
86,2,6,7
29,2,6,8
159,2,6,9
76,2,7
30,2,7,3
6,2,7,4
297,2,7,5
92,2,7,6
23,2,7,8
120,2,7,9
32,2,8
15,2,8,3
12,2,8,4
13,2,8,5
18,2,8,6
17,2,8,7
30,2,8,9
193,2,9
5,2,9,1
339,2,9,3
26,2,9,4
155,2,9,5
147,2,9,6
155,2,9,7
33,2,9,8
735,3
1,3,1,9
38,3,2
14,3,2,4
18,3,2,5
23,3,2,6
15,3,2,7
20,3,2,8
277,3,2,9
17,3,4
27,3,4,2
17,3,4,5
11,3,4,6
8,3,4,7
14,3,4,8
19,3,4,9
16,3,5
1,3,5,1
9,3,5,2
2,3,5,4
13,3,5,6
19,3,5,7
10,3,5,8
22,3,5,9
30,3,6
25,3,6,2
10,3,6,4
17,3,6,5
14,3,6,7
17,3,6,8
33,3,6,9
13,3,7
1,3,7,1
12,3,7,2
7,3,7,4
18,3,7,5
8,3,7,6
6,3,7,8
17,3,7,9
8,3,8
1,3,8,1
13,3,8,2
12,3,8,4
7,3,8,5
8,3,8,6
12,3,8,7
13,3,8,9
48,3,9
213,3,9,2
29,3,9,4
12,3,9,5
42,3,9,6
18,3,9,7
14,3,9,8
448,4
1,4,1
1,4,1,5
10,4,2
11,4,2,3
18,4,2,5
4,4,2,6
8,4,2,7
7,4,2,8
15,4,2,9
10,4,3
11,4,3,2
12,4,3,5
13,4,3,6
8,4,3,7
14,4,3,8
29,4,3,9
8,4,5
10,4,5,2
14,4,5,3
24,4,5,6
31,4,5,7
25,4,5,8
21,4,5,9
17,4,6
10,4,6,2
11,4,6,3
20,4,6,5
13,4,6,7
7,4,6,8
21,4,6,9
11,4,7
5,4,7,2
9,4,7,3
17,4,7,5
9,4,7,6
12,4,7,8
6,4,7,9
16,4,8
1,4,8,1
6,4,8,2
11,4,8,3
22,4,8,5
7,4,8,6
9,4,8,7
7,4,8,9
17,4,9
1,4,9,1
14,4,9,2
21,4,9,3
7,4,9,5
30,4,9,6
10,4,9,7
14,4,9,8
1104,5
4,5,1
1,5,1,6
110,5,2
3,5,2,1
16,5,2,3
15,5,2,4
79,5,2,6
615,5,2,7
14,5,2,8
196,5,2,9
19,5,3
12,5,3,2
15,5,3,4
9,5,3,6
15,5,3,7
10,5,3,8
22,5,3,9
23,5,4
2,5,4,1
5,5,4,2
17,5,4,3
17,5,4,6
21,5,4,7
16,5,4,8
21,5,4,9
122,5,6
4,5,6,1
89,5,6,2
25,5,6,3
25,5,6,4
77,5,6,7
17,5,6,8
79,5,6,9
200,5,7
439,5,7,2
26,5,7,3
23,5,7,4
115,5,7,6
57,5,7,8
524,5,7,9
25,5,8
14,5,8,2
16,5,8,3
23,5,8,4
19,5,8,6
24,5,8,7
26,5,8,9
389,5,9
2,5,9,1
259,5,9,2
64,5,9,3
28,5,9,4
137,5,9,6
1095,5,9,7
52,5,9,8
3761,6
17,6,1
1,6,1,2
1,6,1,3
3,6,1,9
284,6,2
3,6,2,1
79,6,2,3
24,6,2,4
154,6,2,5
162,6,2,7
74,6,2,8
231,6,2,9
71,6,3
89,6,3,2
60,6,3,4
42,6,3,5
33,6,3,7
21,6,3,8
115,6,3,9
44,6,4
20,6,4,2
34,6,4,3
72,6,4,5
39,6,4,7
22,6,4,8
48,6,4,9
111,6,5
3,6,5,1
83,6,5,2
29,6,5,3
40,6,5,4
115,6,5,7
44,6,5,8
85,6,5,9
194,6,7
2,6,7,1
133,6,7,2
64,6,7,3
50,6,7,4
100,6,7,5
56,6,7,8
129,6,7,9
57,6,8
2,6,8,1
36,6,8,2
42,6,8,3
27,6,8,4
31,6,8,5
49,6,8,7
31,6,8,9
287,6,9
4,6,9,1
221,6,9,2
206,6,9,3
69,6,9,4
97,6,9,5
137,6,9,7
51,6,9,8
947,7
4,7,1
90,7,2
2,7,2,1
25,7,2,3
9,7,2,4
257,7,2,5
87,7,2,6
20,7,2,8
124,7,2,9
19,7,3
3,7,3,1
32,7,3,2
3,7,3,4
14,7,3,5
21,7,3,6
4,7,3,8
27,7,3,9
9,7,4
15,7,4,2
11,7,4,3
16,7,4,5
14,7,4,6
9,7,4,8
15,7,4,9
149,7,5
260,7,5,2
24,7,5,3
18,7,5,4
74,7,5,6
35,7,5,8
216,7,5,9
146,7,6
1,7,6,1
