VoteKit RankProfile
Candidates
(writein:0),(Mary Merrill Anderson:1),(Nancy Bernard:2),(John Butler:3),(John Erwin:4),(Bob Fine:5),(Tom Nordyke:6),(David Wahstedt:7),(Annie Young:8)
Max Ranking Length
3
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,&,Weight,&
{'3'},{'4'},{'6'},&,31.0,&
{'3'},{'4'},{'7'},&,25.0,&
{'3'},{'4'},,&,8.0,&
{'3'},{'4'},{'8'},&,21.0,&
{'3'},{'5'},{'1'},&,10.0,&
{'3'},{'5'},{'2'},&,11.0,&
{'3'},{'5'},{'4'},&,20.0,&
{'3'},{'5'},{'6'},&,13.0,&
{'3'},{'5'},{'7'},&,7.0,&
{'3'},{'5'},,&,17.0,&
{'3'},{'5'},{'8'},&,21.0,&
{'3'},{'6'},{'1'},&,5.0,&
{'3'},{'6'},{'2'},&,9.0,&
{'3'},{'6'},{'4'},&,17.0,&
{'3'},{'6'},{'5'},&,9.0,&
{'3'},{'6'},{'7'},&,12.0,&
{'3'},{'6'},,&,11.0,&
{'3'},{'6'},{'8'},&,6.0,&
{'3'},{'0'},{'4'},&,1.0,&
{'3'},{'7'},{'1'},&,6.0,&
{'3'},{'7'},{'2'},&,11.0,&
{'3'},{'7'},{'4'},&,22.0,&
{'3'},{'7'},{'5'},&,7.0,&
{'3'},{'7'},{'6'},&,9.0,&
{'3'},{'7'},{'0'},&,1.0,&
{'3'},{'7'},,&,16.0,&
{'3'},{'7'},{'8'},&,7.0,&
{'3'},,,&,448.0,&
{'3'},{'8'},{'1'},&,14.0,&
{'3'},{'8'},{'2'},&,21.0,&
{'3'},{'8'},{'4'},&,7.0,&
{'3'},{'8'},{'5'},&,30.0,&
{'3'},{'8'},{'0'},&,1.0,&
{'3'},{'8'},{'6'},&,10.0,&
{'3'},{'8'},{'7'},&,14.0,&
{'3'},{'8'},,&,17.0,&
{'0'},{'8'},{'0'},&,1.0,&
{'0'},{'0'},{'1'},&,1.0,&
{'4'},{'1'},{'0'},&,3.0,&
{'4'},{'1'},{'2'},&,16.0,&
{'4'},{'1'},{'3'},&,15.0,&
{'4'},{'1'},{'5'},&,79.0,&
{'4'},{'1'},{'6'},&,615.0,&
{'4'},{'1'},{'7'},&,14.0,&
{'4'},{'1'},,&,110.0,&
{'4'},{'1'},{'8'},&,196.0,&
{'4'},{'2'},{'1'},&,12.0,&
{'4'},{'2'},{'3'},&,15.0,&
{'4'},{'2'},{'5'},&,9.0,&
{'4'},{'2'},{'6'},&,15.0,&
{'4'},{'2'},{'7'},&,10.0,&
{'4'},{'2'},,&,19.0,&
{'4'},{'2'},{'8'},&,22.0,&
{'4'},{'0'},,&,4.0,&
{'4'},{'3'},{'1'},&,5.0,&
{'4'},{'3'},{'2'},&,17.0,&
{'4'},{'3'},{'4'},&,1.0,&
{'4'},{'3'},{'5'},&,17.0,&
{'4'},{'3'},{'0'},&,2.0,&
{'4'},{'3'},{'6'},&,21.0,&
{'4'},{'3'},{'7'},&,16.0,&
{'4'},{'3'},,&,22.0,&
{'4'},{'3'},{'8'},&,21.0,&
{'4'},{'0'},{'5'},&,1.0,&
{'4'},{'5'},{'1'},&,89.0,&
{'4'},{'5'},{'2'},&,25.0,&
{'4'},{'5'},{'0'},&,4.0,&
{'4'},{'5'},{'3'},&,25.0,&
{'4'},{'5'},{'6'},&,77.0,&
{'4'},{'5'},{'7'},&,17.0,&
{'4'},{'5'},,&,122.0,&
{'4'},{'5'},{'8'},&,79.0,&
{'4'},{'6'},{'1'},&,439.0,&
{'4'},{'6'},{'2'},&,26.0,&
{'4'},{'6'},{'3'},&,23.0,&
{'4'},{'6'},{'5'},&,115.0,&
{'4'},{'6'},{'7'},&,57.0,&
{'4'},{'6'},,&,200.0,&
{'4'},{'6'},{'8'},&,524.0,&
{'4'},{'7'},{'1'},&,14.0,&
{'4'},{'7'},{'2'},&,16.0,&
{'4'},{'7'},{'3'},&,23.0,&
{'4'},{'7'},{'5'},&,19.0,&
{'4'},{'7'},{'6'},&,24.0,&
{'4'},{'7'},,&,25.0,&
{'4'},{'7'},{'8'},&,26.0,&
{'4'},,,&,1104.0,&
{'4'},{'8'},{'1'},&,259.0,&
{'4'},{'8'},{'2'},&,64.0,&
{'4'},{'8'},{'3'},&,28.0,&
{'4'},{'8'},{'5'},&,137.0,&
{'4'},{'8'},{'0'},&,2.0,&
{'4'},{'8'},{'6'},&,1095.0,&
{'4'},{'8'},{'7'},&,52.0,&
{'4'},{'8'},,&,389.0,&
{'5'},{'1'},{'2'},&,79.0,&
{'5'},{'1'},{'3'},&,24.0,&
{'5'},{'1'},{'4'},&,154.0,&
{'5'},{'1'},{'0'},&,3.0,&
{'5'},{'1'},{'6'},&,162.0,&
{'5'},{'1'},{'7'},&,74.0,&
{'5'},{'1'},,&,284.0,&
{'5'},{'1'},{'8'},&,231.0,&
{'5'},{'2'},{'1'},&,89.0,&
{'5'},{'2'},{'3'},&,60.0,&
{'5'},{'2'},{'4'},&,42.0,&
{'5'},{'2'},{'6'},&,33.0,&
{'5'},{'2'},{'7'},&,21.0,&
{'5'},{'2'},,&,71.0,&
{'5'},{'2'},{'8'},&,115.0,&
{'5'},{'0'},{'0'},&,12.0,&
{'5'},{'0'},,&,5.0,&
{'5'},{'3'},{'1'},&,20.0,&
{'5'},{'3'},{'2'},&,34.0,&
{'5'},{'3'},{'4'},&,72.0,&
{'5'},{'3'},{'6'},&,39.0,&
{'5'},{'3'},{'7'},&,22.0,&
{'5'},{'3'},,&,44.0,&
{'5'},{'3'},{'8'},&,48.0,&
{'5'},{'4'},{'1'},&,83.0,&
{'5'},{'4'},{'2'},&,29.0,&
{'5'},{'4'},{'0'},&,3.0,&
{'5'},{'4'},{'3'},&,40.0,&
{'5'},{'4'},{'6'},&,115.0,&
{'5'},{'4'},{'7'},&,44.0,&
{'5'},{'4'},,&,111.0,&
{'5'},{'4'},{'8'},&,85.0,&
{'5'},{'0'},{'8'},&,3.0,&
{'5'},{'0'},{'2'},&,1.0,&
{'5'},{'6'},{'1'},&,133.0,&
{'5'},{'6'},{'2'},&,64.0,&
{'5'},{'6'},{'0'},&,2.0,&
{'5'},{'6'},{'3'},&,50.0,&
{'5'},{'6'},{'4'},&,100.0,&
{'5'},{'6'},{'7'},&,56.0,&
{'5'},{'6'},,&,194.0,&
{'5'},{'6'},{'8'},&,129.0,&
{'5'},{'0'},{'1'},&,1.0,&
{'5'},{'7'},{'1'},&,36.0,&
{'5'},{'7'},{'2'},&,42.0,&
{'5'},{'7'},{'3'},&,27.0,&
{'5'},{'7'},{'4'},&,31.0,&
{'5'},{'7'},{'6'},&,49.0,&
{'5'},{'7'},{'0'},&,2.0,&
{'5'},{'7'},,&,57.0,&
{'5'},{'7'},{'8'},&,31.0,&
{'5'},,,&,3761.0,&
{'5'},{'8'},{'1'},&,221.0,&
{'5'},{'8'},{'0'},&,4.0,&
{'5'},{'8'},{'2'},&,206.0,&
{'5'},{'8'},{'3'},&,69.0,&
{'5'},{'8'},{'4'},&,97.0,&
{'5'},{'8'},{'6'},&,137.0,&
{'5'},{'8'},{'7'},&,51.0,&
{'5'},{'8'},,&,287.0,&
{'0'},{'5'},{'4'},&,2.0,&
{'0'},{'4'},{'2'},&,1.0,&
{'0'},{'6'},{'1'},&,1.0,&
{'0'},{'7'},{'3'},&,1.0,&
{'0'},{'6'},{'5'},&,1.0,&
{'0'},{'8'},{'7'},&,1.0,&
{'0'},{'4'},{'3'},&,1.0,&
{'0'},{'1'},{'8'},&,2.0,&
{'6'},{'0'},{'0'},&,2.0,&
{'6'},{'1'},{'2'},&,25.0,&
{'6'},{'1'},{'3'},&,9.0,&
{'6'},{'1'},{'4'},&,257.0,&
{'6'},{'1'},{'5'},&,87.0,&
{'6'},{'1'},{'0'},&,2.0,&
{'6'},{'1'},{'7'},&,20.0,&
{'6'},{'1'},,&,90.0,&
{'6'},{'1'},{'8'},&,124.0,&
{'6'},{'2'},{'1'},&,32.0,&
{'6'},{'2'},{'3'},&,3.0,&
{'6'},{'2'},{'0'},&,3.0,&
{'6'},{'2'},{'4'},&,14.0,&
{'6'},{'2'},{'5'},&,21.0,&
