VoteKit RankProfile
Candidates
(Meg Forney:0),(Mary McKelvey:1),(Alicia D. Smith:2),(Charles Rucker:3),(Katherine Kelly:4),(Tom Olsen:5),(Londel French:6),(overvote:7),(writein:8)
Max Ranking Length
3
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,&,Weight,&
{'5'},{'3'},{'6'},&,317.0,&
{'7'},{'2'},{'1'},&,5.0,&
{'6'},{'5'},{'4'},&,71.0,&
{'4'},{'1'},,&,114.0,&
{'0'},{'1'},{'7'},&,6.0,&
{'3'},{'2'},{'5'},&,140.0,&
{'3'},{'2'},{'6'},&,160.0,&
{'0'},{'1'},{'8'},&,13.0,&
{'3'},{'6'},{'2'},&,179.0,&
{'6'},{'3'},{'2'},&,217.0,&
{'6'},{'0'},{'2'},&,326.0,&
{'4'},{'3'},{'1'},&,80.0,&
{'4'},{'5'},{'1'},&,150.0,&
{'3'},{'0'},{'2'},&,241.0,&
{'0'},{'5'},{'4'},&,257.0,&
{'3'},{'1'},{'2'},&,268.0,&
{'5'},{'1'},{'2'},&,546.0,&
{'4'},{'1'},{'3'},&,104.0,&
{'2'},{'3'},{'5'},&,180.0,&
{'0'},{'2'},{'0'},&,14.0,&
{'4'},{'1'},{'2'},&,271.0,&
{'5'},{'4'},{'3'},&,143.0,&
{'5'},{'3'},{'4'},&,268.0,&
{'2'},{'3'},{'4'},&,132.0,&
{'5'},{'0'},{'4'},&,237.0,&
{'2'},{'5'},{'4'},&,149.0,&
{'4'},{'0'},{'5'},&,99.0,&
{'5'},{'6'},{'3'},&,139.0,&
{'5'},{'4'},{'0'},&,182.0,&
{'0'},{'4'},{'2'},&,525.0,&
{'5'},{'6'},{'1'},&,608.0,&
{'1'},{'6'},{'3'},&,40.0,&
{'2'},{'4'},{'0'},&,608.0,&
{'1'},{'1'},,&,12.0,&
{'7'},,,&,117.0,&
{'1'},{'5'},{'3'},&,112.0,&
{'2'},{'1'},{'5'},&,182.0,&
{'1'},{'3'},{'2'},&,260.0,&
{'0'},{'2'},{'3'},&,415.0,&
{'2'},{'6'},{'1'},&,107.0,&
{'0'},{'3'},{'5'},&,231.0,&
{'3'},{'5'},{'0'},&,162.0,&
{'5'},{'1'},{'6'},&,238.0,&
{'6'},{'1'},,&,86.0,&
