VoteKit RankProfile
Candidates
(Meg Forney:0),(Latrisha Vetaw:1),(Devin Hogan:2),(Mike Derus:3),(Russ Henry:4),(Londel French:5),(Jonathan Honerbrink:6),(Charlie Casserly:7),(Bob Sullentrop:8),(writein:9),(overvote:10),(Scott Vreeland:11)
Max Ranking Length
3
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,&,Weight,&
{'3'},{'7'},{'5'},&,54.0,&
{'3'},{'1'},{'6'},&,45.0,&
{'4'},{'0'},,&,217.0,&
{'3'},{'1'},,&,178.0,&
{'1'},{'5'},{'6'},&,107.0,&
{'1'},{'0'},{'2'},&,472.0,&
{'2'},{'1'},{'5'},&,544.0,&
{'8'},{'5'},{'1'},&,5.0,&
{'2'},{'0'},{'1'},&,126.0,&
{'0'},{'1'},{'6'},&,195.0,&
{'2'},{'3'},{'1'},&,46.0,&
{'3'},{'1'},{'5'},&,148.0,&
{'4'},{'0'},{'1'},&,232.0,&
{'1'},{'4'},,&,266.0,&
{'7'},{'8'},{'0'},&,35.0,&
{'0'},{'3'},{'4'},&,266.0,&
{'7'},{'1'},,&,29.0,&
{'8'},{'3'},{'0'},&,47.0,&
{'5'},{'2'},,&,201.0,&
{'1'},{'6'},{'2'},&,28.0,&
{'3'},{'0'},{'2'},&,214.0,&
{'5'},{'2'},{'0'},&,135.0,&
{'7'},{'4'},{'0'},&,46.0,&
{'0'},{'0'},,&,32.0,&
{'2'},{'6'},{'0'},&,24.0,&
{'3'},{'5'},{'2'},&,68.0,&
{'3'},{'7'},{'4'},&,83.0,&
{'4'},{'0'},{'2'},&,118.0,&
{'1'},{'4'},{'6'},&,27.0,&
{'3'},{'4'},{'1'},&,100.0,&
{'5'},{'0'},,&,318.0,&
{'4'},{'5'},{'0'},&,188.0,&
{'5'},{'3'},{'4'},&,75.0,&
{'1'},{'0'},{'8'},&,92.0,&
{'7'},{'5'},{'0'},&,23.0,&
{'0'},{'5'},{'3'},&,219.0,&
{'4'},{'7'},{'3'},&,31.0,&
{'2'},{'3'},,&,59.0,&
{'0'},{'7'},{'6'},&,65.0,&
{'5'},{'6'},{'8'},&,16.0,&
{'10'},,,&,58.0,&
{'0'},{'5'},{'6'},&,53.0,&
{'5'},{'6'},{'1'},&,32.0,&
{'9'},,,&,191.0,&
{'0'},{'2'},{'6'},&,70.0,&
{'4'},{'1'},{'3'},&,112.0,&
{'3'},{'5'},{'1'},&,94.0,&
{'2'},{'8'},{'3'},&,23.0,&
{'4'},{'6'},{'3'},&,26.0,&
{'4'},{'3'},{'0'},&,174.0,&
{'1'},{'2'},{'0'},&,249.0,&
{'6'},{'4'},{'0'},&,34.0,&
{'4'},{'2'},,&,95.0,&
{'0'},{'7'},,&,158.0,&
{'0'},{'6'},{'7'},&,42.0,&
{'2'},{'4'},{'0'},&,113.0,&
{'3'},{'5'},{'8'},&,15.0,&
{'4'},{'6'},{'8'},&,24.0,&
{'1'},{'7'},{'6'},&,16.0,&
{'3'},{'0'},{'6'},&,170.0,&
{'6'},{'0'},{'9'},&,3.0,&
{'5'},{'2'},{'3'},&,72.0,&
{'5'},{'8'},{'2'},&,12.0,&
{'5'},{'8'},{'6'},&,8.0,&
{'2'},{'7'},{'6'},&,18.0,&
{'8'},{'1'},{'0'},&,32.0,&
{'3'},{'4'},{'2'},&,106.0,&
{'1'},{'2'},{'3'},&,91.0,&
{'3'},{'7'},{'6'},&,81.0,&
{'6'},{'0'},,&,57.0,&
{'8'},{'0'},{'7'},&,12.0,&
{'0'},{'1'},{'8'},&,87.0,&
{'2'},{'9'},{'9'},&,6.0,&
{'1'},{'6'},{'0'},&,73.0,&
{'8'},{'0'},,&,26.0,&
{'5'},{'0'},{'4'},&,146.0,&
{'4'},{'1'},{'6'},&,30.0,&
{'6'},{'4'},{'2'},&,21.0,&
{'4'},{'3'},{'5'},&,94.0,&
{'8'},{'6'},,&,90.0,&
{'2'},{'1'},{'8'},&,15.0,&
{'4'},{'6'},,&,23.0,&
{'3'},{'8'},{'0'},&,49.0,&
{'6'},{'8'},{'3'},&,65.0,&
{'5'},{'2'},{'1'},&,549.0,&
{'2'},{'1'},,&,134.0,&
{'2'},{'6'},{'7'},&,18.0,&
{'7'},{'3'},,&,161.0,&
{'7'},{'8'},{'6'},&,48.0,&
{'5'},{'0'},{'5'},&,6.0,&
