VoteKit RankProfile
Candidates
(Meg Forney:0),(Latrisha Vetaw:1),(Devin Hogan:2),(Mike Derus:3),(Russ Henry:4),(Londel French:5),(Jonathan Honerbrink:6),(Charlie Casserly:7),(Bob Sullentrop:8),(writein:9),(overvote:10),(Scott Vreeland:11)
Max Ranking Length
3
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,&,Weight,&
{'4'},{'1'},{'1'},&,4.0,&
{'5'},{'7'},{'5'},&,1.0,&
{'5'},{'7'},{'2'},&,21.0,&
{'3'},{'3'},{'0'},&,6.0,&
{'0'},{'3'},{'3'},&,7.0,&
{'2'},{'3'},{'5'},&,36.0,&
{'1'},{'5'},{'10'},&,2.0,&
{'10'},{'6'},{'0'},&,1.0,&
{'3'},{'5'},{'9'},&,3.0,&
{'7'},{'6'},,&,23.0,&
{'7'},{'2'},,&,22.0,&
{'5'},{'3'},{'7'},&,24.0,&
{'2'},{'5'},{'8'},&,11.0,&
{'1'},{'0'},{'9'},&,35.0,&
{'6'},{'9'},{'9'},&,8.0,&
{'5'},{'5'},{'3'},&,2.0,&
{'2'},{'5'},{'5'},&,2.0,&
{'3'},{'0'},{'10'},&,2.0,&
{'0'},{'1'},{'1'},&,7.0,&
{'4'},{'5'},{'6'},&,22.0,&
{'8'},{'1'},{'4'},&,15.0,&
{'1'},{'9'},{'5'},&,3.0,&
{'3'},{'5'},{'3'},&,1.0,&
{'3'},{'5'},{'6'},&,25.0,&
{'9'},{'8'},{'2'},&,1.0,&
{'7'},{'6'},{'5'},&,9.0,&
{'0'},{'2'},{'10'},&,1.0,&
{'1'},{'7'},{'4'},&,26.0,&
{'7'},{'6'},{'7'},&,2.0,&
{'6'},{'1'},{'7'},&,11.0,&
{'4'},{'5'},{'8'},&,13.0,&
{'5'},{'2'},{'5'},&,7.0,&
{'8'},{'2'},{'3'},&,13.0,&
{'4'},{'1'},{'9'},&,4.0,&
{'0'},{'3'},{'9'},&,9.0,&
{'8'},{'7'},{'5'},&,10.0,&
{'5'},{'1'},{'7'},&,61.0,&
{'3'},{'9'},{'9'},&,15.0,&
{'5'},{'5'},,&,9.0,&
{'6'},{'1'},{'8'},&,15.0,&
{'5'},{'9'},{'1'},&,4.0,&
{'3'},{'0'},{'9'},&,15.0,&
{'5'},{'6'},{'3'},&,23.0,&
{'6'},{'0'},{'7'},&,33.0,&
{'5'},{'1'},{'6'},&,73.0,&
{'4'},{'3'},{'9'},&,4.0,&
{'5'},{'2'},{'6'},&,32.0,&
{'1'},{'1'},{'5'},&,8.0,&
{'1'},{'9'},{'3'},&,2.0,&
{'3'},{'3'},,&,16.0,&
{'5'},{'4'},{'7'},&,27.0,&
{'1'},{'5'},{'8'},&,36.0,&
{'8'},{'5'},{'0'},&,8.0,&
{'5'},{'1'},{'8'},&,35.0,&
{'5'},{'7'},{'6'},&,9.0,&
{'5'},{'6'},,&,22.0,&
{'6'},{'5'},{'3'},&,16.0,&
{'8'},{'7'},{'4'},&,12.0,&
{'2'},{'6'},{'1'},&,27.0,&
{'0'},{'8'},{'0'},&,5.0,&
{'8'},{'7'},{'1'},&,10.0,&
{'8'},{'4'},{'1'},&,17.0,&
{'1'},{'6'},{'1'},&,5.0,&
{'2'},{'8'},{'0'},&,23.0,&
{'7'},{'4'},{'9'},&,4.0,&
{'8'},{'5'},{'6'},&,7.0,&
{'10'},{'2'},{'4'},&,2.0,&
{'7'},{'9'},{'9'},&,10.0,&
{'0'},{'10'},{'7'},&,1.0,&
{'7'},{'4'},{'8'},&,21.0,&
{'7'},{'4'},{'2'},&,25.0,&
{'3'},{'0'},{'0'},&,11.0,&
{'3'},{'2'},{'3'},&,2.0,&
{'1'},{'6'},{'4'},&,20.0,&
{'8'},{'2'},{'5'},&,7.0,&
{'7'},{'3'},{'9'},&,3.0,&
{'0'},{'4'},{'0'},&,4.0,&
{'0'},{'4'},{'9'},&,3.0,&
{'2'},{'7'},{'1'},&,11.0,&
{'0'},{'7'},{'0'},&,1.0,&
{'5'},{'3'},{'3'},&,1.0,&
{'3'},{'8'},{'5'},&,7.0,&
{'6'},{'3'},{'5'},&,17.0,&
{'8'},{'3'},{'5'},&,12.0,&
{'6'},{'2'},{'7'},&,10.0,&
{'6'},{'4'},{'5'},&,20.0,&
{'3'},{'5'},{'5'},&,2.0,&
{'0'},{'6'},{'0'},&,4.0,&
{'5'},{'2'},{'7'},&,20.0,&
{'6'},{'2'},,&,12.0,&
{'6'},{'1'},{'9'},&,3.0,&
{'6'},{'0'},{'8'},&,24.0,&
{'8'},{'3'},{'9'},&,2.0,&
{'0'},{'0'},{'7'},&,3.0,&
{'2'},{'8'},{'7'},&,14.0,&
{'6'},{'5'},{'4'},&,9.0,&
{'6'},{'2'},{'1'},&,16.0,&
{'5'},{'8'},{'4'},&,25.0,&
{'4'},{'5'},{'5'},&,3.0,&
{'4'},{'9'},{'9'},&,9.0,&
{'10'},{'10'},,&,3.0,&
{'4'},{'8'},{'2'},&,11.0,&
{'5'},{'1'},{'5'},&,9.0,&
{'0'},{'9'},{'3'},&,2.0,&
{'0'},{'6'},{'9'},&,3.0,&
{'4'},{'7'},{'5'},&,17.0,&
{'1'},{'0'},{'0'},&,9.0,&
{'10'},{'0'},,&,3.0,&
{'8'},{'0'},{'1'},&,17.0,&
{'4'},{'2'},{'9'},&,3.0,&
{'0'},{'2'},{'0'},&,1.0,&
{'10'},{'1'},{'2'},&,1.0,&
{'1'},{'1'},{'3'},&,4.0,&
{'5'},{'10'},{'3'},&,1.0,&
{'7'},{'2'},{'6'},&,35.0,&
{'7'},{'6'},{'2'},&,13.0,&
{'7'},{'10'},{'1'},&,1.0,&
{'6'},{'2'},{'3'},&,14.0,&
{'7'},{'1'},{'8'},&,8.0,&
{'8'},{'6'},{'1'},&,15.0,&
{'7'},{'8'},{'2'},&,16.0,&
{'7'},{'1'},{'4'},&,13.0,&
{'1'},{'8'},{'2'},&,10.0,&
{'2'},{'6'},,&,11.0,&
{'7'},{'7'},,&,10.0,&
{'1'},{'3'},{'8'},&,14.0,&
{'1'},{'1'},{'0'},&,9.0,&
{'6'},{'3'},{'6'},&,1.0,&
{'8'},{'7'},{'9'},&,3.0,&
{'0'},{'5'},{'5'},&,4.0,&
{'5'},{'4'},{'8'},&,14.0,&
{'2'},{'1'},{'9'},&,4.0,&
{'7'},{'3'},{'7'},&,4.0,&
{'5'},{'0'},{'0'},&,2.0,&
{'2'},{'0'},{'8'},&,23.0,&
{'7'},{'8'},{'5'},&,6.0,&
{'4'},{'4'},{'3'},&,3.0,&
{'5'},{'2'},{'9'},&,6.0,&
{'8'},{'3'},{'6'},&,39.0,&
{'4'},{'5'},{'9'},&,5.0,&
{'2'},{'4'},{'9'},&,3.0,&
{'7'},{'8'},{'9'},&,1.0,&
{'6'},{'2'},{'5'},&,8.0,&
{'8'},{'3'},{'1'},&,16.0,&
{'7'},{'9'},{'0'},&,1.0,&
{'8'},{'5'},{'2'},&,5.0,&
{'8'},{'6'},{'2'},&,10.0,&
{'7'},{'0'},{'9'},&,1.0,&
{'0'},{'8'},{'4'},&,37.0,&
{'4'},{'10'},{'10'},&,1.0,&
{'10'},{'1'},,&,3.0,&
{'4'},{'8'},{'8'},&,2.0,&
{'2'},{'1'},{'11'},&,1.0,&
{'7'},{'6'},{'4'},&,14.0,&
{'6'},{'5'},{'7'},&,7.0,&
{'7'},{'6'},{'10'},&,1.0,&
{'11'},{'7'},{'0'},&,2.0,&
{'11'},{'0'},{'6'},&,1.0,&
{'6'},{'8'},{'9'},&,7.0,&
{'5'},{'9'},,&,4.0,&
{'5'},{'4'},{'11'},&,1.0,&
{'4'},{'7'},{'2'},&,21.0,&
{'7'},{'5'},{'6'},&,12.0,&
{'6'},{'2'},{'9'},&,1.0,&
{'2'},{'1'},{'1'},&,5.0,&
{'5'},{'2'},{'11'},&,1.0,&
{'1'},{'2'},{'2'},&,1.0,&
{'8'},{'2'},{'10'},&,1.0,&
{'0'},{'5'},{'0'},&,4.0,&
{'1'},{'8'},{'4'},&,10.0,&
{'5'},{'5'},{'2'},&,2.0,&
{'5'},{'6'},{'2'},&,12.0,&
{'1'},{'8'},,&,13.0,&
{'9'},{'8'},{'4'},&,2.0,&
{'1'},{'9'},{'9'},&,19.0,&
{'4'},{'8'},{'5'},&,5.0,&
{'1'},{'3'},{'9'},&,4.0,&
{'4'},{'7'},{'9'},&,2.0,&
{'6'},{'1'},{'4'},&,17.0,&
{'2'},{'2'},{'7'},&,3.0,&
{'1'},{'4'},{'4'},&,2.0,&
{'9'},{'5'},{'1'},&,1.0,&
{'6'},{'6'},{'4'},&,3.0,&
{'5'},{'3'},{'5'},&,3.0,&
{'9'},{'2'},,&,1.0,&
{'9'},{'9'},,&,12.0,&
{'9'},{'3'},{'1'},&,1.0,&
{'4'},{'4'},{'8'},&,1.0,&
{'10'},{'10'},{'7'},&,1.0,&
{'9'},{'0'},,&,2.0,&
{'7'},{'2'},{'9'},&,2.0,&
{'0'},{'0'},{'1'},&,7.0,&
{'7'},{'7'},{'3'},&,1.0,&
{'3'},{'1'},{'3'},&,3.0,&
{'9'},{'9'},{'1'},&,2.0,&
{'5'},{'4'},{'5'},&,3.0,&
{'2'},{'2'},{'0'},&,1.0,&
{'7'},{'2'},{'2'},&,1.0,&
{'1'},{'9'},{'2'},&,1.0,&
{'5'},{'4'},{'9'},&,3.0,&
{'7'},{'8'},{'8'},&,1.0,&
{'0'},{'0'},{'3'},&,8.0,&
{'1'},{'1'},,&,16.0,&
{'8'},{'1'},{'2'},&,5.0,&
{'10'},{'10'},{'5'},&,1.0,&
{'2'},{'2'},{'1'},&,4.0,&
{'4'},{'2'},{'2'},&,1.0,&
{'8'},{'3'},{'3'},&,2.0,&
{'7'},{'7'},{'4'},&,2.0,&
{'7'},{'7'},{'5'},&,1.0,&
{'2'},{'0'},{'0'},&,4.0,&
{'1'},{'5'},{'5'},&,9.0,&
{'9'},{'3'},{'5'},&,1.0,&
{'4'},{'4'},{'2'},&,2.0,&
{'5'},{'8'},{'0'},&,10.0,&
{'1'},{'2'},{'9'},&,2.0,&
{'8'},{'4'},{'7'},&,13.0,&
{'2'},{'8'},{'5'},&,5.0,&
{'8'},{'2'},,&,4.0,&
{'9'},{'4'},{'7'},&,1.0,&
{'2'},{'7'},{'2'},&,2.0,&
{'5'},{'7'},{'8'},&,5.0,&
{'0'},{'0'},{'2'},&,4.0,&
{'6'},{'5'},,&,8.0,&
{'1'},{'6'},{'10'},&,1.0,&
{'8'},{'9'},{'9'},&,2.0,&
{'3'},{'1'},{'1'},&,3.0,&
{'8'},{'6'},{'8'},&,2.0,&
{'2'},{'9'},,&,2.0,&
{'5'},{'0'},{'9'},&,4.0,&
{'3'},{'3'},{'7'},&,3.0,&
{'0'},{'9'},{'1'},&,1.0,&
{'1'},{'4'},{'9'},&,8.0,&
{'3'},{'9'},{'4'},&,1.0,&
{'8'},{'6'},{'6'},&,3.0,&
{'0'},{'9'},,&,5.0,&
{'8'},{'3'},{'10'},&,1.0,&
{'7'},{'1'},{'9'},&,2.0,&
{'4'},{'8'},{'1'},&,11.0,&
{'0'},{'0'},{'6'},&,1.0,&
{'8'},{'2'},{'2'},&,2.0,&
{'10'},{'1'},{'3'},&,3.0,&
{'2'},{'5'},{'2'},&,1.0,&
{'2'},{'0'},{'9'},&,2.0,&
{'8'},{'6'},{'9'},&,4.0,&
{'2'},{'3'},{'2'},&,4.0,&
{'1'},{'8'},{'3'},&,6.0,&
{'8'},{'5'},{'4'},&,5.0,&
{'3'},{'7'},{'9'},&,4.0,&
{'0'},{'3'},{'10'},&,2.0,&
{'1'},{'1'},{'2'},&,3.0,&
{'7'},{'7'},{'9'},&,1.0,&
{'9'},{'3'},{'0'},&,2.0,&
{'3'},{'8'},{'3'},&,4.0,&
{'5'},{'1'},{'1'},&,8.0,&
{'1'},{'7'},{'7'},&,1.0,&
{'8'},{'5'},{'3'},&,7.0,&
{'10'},{'1'},{'0'},&,6.0,&
{'4'},{'7'},{'4'},&,3.0,&
{'3'},{'6'},{'3'},&,5.0,&
{'4'},{'6'},{'5'},&,11.0,&
{'6'},{'6'},,&,1.0,&
{'10'},{'2'},,&,3.0,&
{'9'},{'1'},{'6'},&,1.0,&
{'0'},{'4'},{'4'},&,3.0,&
{'3'},{'1'},{'9'},&,2.0,&
{'2'},{'6'},{'8'},&,6.0,&
{'2'},{'4'},{'4'},&,2.0,&
{'6'},{'8'},{'8'},&,1.0,&
{'6'},{'6'},{'8'},&,3.0,&
{'4'},{'5'},{'4'},&,6.0,&
{'5'},{'5'},{'1'},&,6.0,&
{'2'},{'3'},{'3'},&,3.0,&
{'3'},{'3'},{'2'},&,1.0,&
{'10'},{'3'},{'4'},&,1.0,&
{'5'},{'8'},{'5'},&,1.0,&
{'0'},{'0'},{'5'},&,2.0,&
{'2'},{'2'},{'10'},&,1.0,&
{'1'},{'8'},{'9'},&,1.0,&
{'0'},{'2'},{'9'},&,3.0,&
{'6'},{'9'},{'7'},&,1.0,&
{'7'},{'3'},{'3'},&,2.0,&
{'10'},{'0'},{'4'},&,2.0,&
{'4'},{'7'},{'7'},&,1.0,&
{'9'},{'7'},{'4'},&,1.0,&
{'1'},{'3'},{'3'},&,1.0,&
{'3'},{'2'},{'9'},&,4.0,&
{'9'},{'1'},{'4'},&,1.0,&
{'5'},{'5'},{'6'},&,1.0,&
{'3'},{'9'},,&,2.0,&
{'3'},{'10'},{'0'},&,1.0,&
{'0'},{'0'},{'9'},&,1.0,&
{'7'},{'1'},{'1'},&,1.0,&
{'1'},{'2'},{'1'},&,6.0,&
{'1'},{'1'},{'4'},&,3.0,&
{'7'},{'9'},{'5'},&,1.0,&
{'2'},{'8'},{'2'},&,1.0,&
{'4'},{'1'},{'4'},&,2.0,&
{'10'},{'3'},{'1'},&,2.0,&
{'6'},{'9'},{'4'},&,2.0,&
{'4'},{'4'},{'9'},&,1.0,&
{'10'},{'4'},{'2'},&,2.0,&
{'8'},{'9'},,&,1.0,&
{'8'},{'8'},,&,4.0,&
{'6'},{'1'},{'6'},&,3.0,&
{'7'},{'0'},{'7'},&,2.0,&
{'10'},{'3'},{'0'},&,3.0,&
{'9'},{'6'},{'3'},&,1.0,&
{'6'},{'10'},{'10'},&,1.0,&
{'6'},{'7'},{'9'},&,1.0,&
{'10'},{'6'},{'4'},&,1.0,&
{'7'},{'7'},{'8'},&,1.0,&
{'1'},{'7'},{'9'},&,1.0,&
{'10'},{'0'},{'5'},&,1.0,&
{'7'},{'4'},{'7'},&,2.0,&
{'3'},{'10'},,&,2.0,&
{'9'},{'3'},,&,1.0,&
{'7'},{'6'},{'9'},&,1.0,&
{'9'},{'2'},{'1'},&,1.0,&
{'9'},{'4'},{'1'},&,1.0,&
{'6'},{'3'},{'9'},&,2.0,&
{'10'},{'7'},{'4'},&,1.0,&
{'6'},{'4'},{'4'},&,1.0,&
{'9'},{'3'},{'7'},&,1.0,&
{'5'},{'2'},{'10'},&,1.0,&
{'10'},{'7'},,&,2.0,&
{'3'},{'2'},{'2'},&,2.0,&
{'6'},{'6'},{'2'},&,3.0,&
{'3'},{'7'},{'7'},&,2.0,&
{'0'},{'0'},{'4'},&,1.0,&
{'1'},{'10'},{'10'},&,2.0,&
{'6'},{'9'},,&,4.0,&
{'4'},{'9'},{'1'},&,1.0,&
{'0'},{'9'},{'8'},&,1.0,&
{'1'},{'10'},{'5'},&,1.0,&
{'10'},{'1'},{'4'},&,1.0,&
{'8'},{'10'},,&,1.0,&
{'4'},{'10'},{'8'},&,1.0,&
{'9'},{'0'},{'1'},&,3.0,&
{'9'},{'4'},{'8'},&,1.0,&
{'10'},{'1'},{'5'},&,2.0,&
{'10'},{'5'},{'5'},&,1.0,&
{'9'},{'4'},{'0'},&,3.0,&
{'0'},{'9'},{'5'},&,1.0,&
{'5'},{'4'},{'10'},&,1.0,&
{'1'},{'11'},{'5'},&,1.0,&
{'5'},{'9'},{'0'},&,1.0,&
{'9'},{'8'},{'6'},&,1.0,&
{'4'},{'10'},{'1'},&,2.0,&
{'4'},{'6'},{'9'},&,1.0,&
{'9'},{'5'},{'0'},&,1.0,&
{'2'},{'6'},{'2'},&,2.0,&
{'3'},{'3'},{'8'},&,1.0,&
{'1'},{'1'},{'7'},&,2.0,&
{'2'},{'10'},{'6'},&,1.0,&
{'10'},{'8'},{'3'},&,1.0,&
{'5'},{'3'},{'9'},&,1.0,&
{'6'},{'6'},{'3'},&,1.0,&
{'10'},{'6'},,&,2.0,&
{'4'},{'4'},{'5'},&,2.0,&
{'5'},{'0'},{'10'},&,1.0,&
{'9'},{'0'},{'7'},&,2.0,&
{'0'},{'3'},{'11'},&,1.0,&
{'9'},{'3'},{'9'},&,1.0,&
{'8'},{'5'},{'8'},&,1.0,&
{'1'},{'4'},{'10'},&,2.0,&
{'1'},{'9'},{'0'},&,1.0,&
{'9'},{'9'},{'0'},&,2.0,&
{'0'},{'8'},{'8'},&,1.0,&
{'8'},{'1'},{'10'},&,1.0,&
{'3'},{'10'},{'10'},&,1.0,&
{'9'},{'4'},,&,1.0,&
{'2'},{'1'},{'2'},&,3.0,&
{'2'},{'2'},{'6'},&,2.0,&
{'3'},{'10'},{'6'},&,1.0,&
{'4'},{'8'},{'9'},&,1.0,&
{'10'},{'0'},{'3'},&,1.0,&
{'9'},{'1'},,&,1.0,&
{'7'},{'9'},,&,1.0,&
{'2'},{'6'},{'6'},&,1.0,&
{'10'},{'0'},{'0'},&,1.0,&
{'5'},{'6'},{'9'},&,3.0,&
{'7'},{'5'},{'7'},&,1.0,&
{'10'},{'8'},,&,1.0,&
{'8'},{'4'},{'10'},&,1.0,&
{'2'},{'2'},{'4'},&,1.0,&
{'9'},{'8'},{'0'},&,1.0,&
{'3'},{'6'},{'9'},&,1.0,&
{'9'},{'0'},{'6'},&,1.0,&
{'5'},{'5'},{'0'},&,1.0,&
{'0'},{'9'},{'2'},&,1.0,&
{'8'},{'9'},{'4'},&,1.0,&
{'10'},{'4'},,&,1.0,&
{'3'},{'9'},{'0'},&,2.0,&
{'7'},{'2'},{'7'},&,1.0,&
{'2'},{'0'},{'2'},&,1.0,&
{'9'},{'2'},{'5'},&,1.0,&
{'9'},{'0'},{'3'},&,1.0,&
{'3'},{'3'},{'1'},&,1.0,&
{'8'},{'8'},{'2'},&,1.0,&
{'6'},{'7'},{'7'},&,1.0,&
{'5'},{'7'},{'9'},&,1.0,&
{'2'},{'2'},{'3'},&,2.0,&
{'2'},{'2'},{'5'},&,2.0,&
{'10'},{'3'},,&,3.0,&
{'3'},{'3'},{'4'},&,1.0,&
{'3'},{'4'},{'9'},&,1.0,&
{'5'},{'10'},{'1'},&,1.0,&
{'1'},{'10'},{'0'},&,1.0,&
{'2'},{'8'},{'10'},&,1.0,&
{'6'},{'4'},{'6'},&,2.0,&
{'4'},{'9'},{'6'},&,1.0,&
{'9'},{'7'},{'8'},&,1.0,&
{'0'},{'10'},{'5'},&,1.0,&
{'2'},{'3'},{'9'},&,2.0,&
{'0'},{'1'},{'10'},&,1.0,&
{'9'},{'2'},{'0'},&,1.0,&
{'3'},{'10'},{'7'},&,1.0,&
{'0'},{'7'},{'7'},&,1.0,&
{'2'},{'5'},{'9'},&,2.0,&
{'3'},{'10'},{'8'},&,1.0,&
{'3'},{'8'},{'8'},&,1.0,&
{'2'},{'10'},{'4'},&,1.0,&
{'6'},{'5'},{'9'},&,1.0,&
{'8'},{'8'},{'7'},&,1.0,&
{'8'},{'2'},{'8'},&,1.0,&
{'4'},{'6'},{'4'},&,1.0,&
{'7'},{'0'},{'0'},&,1.0,&
{'10'},{'2'},{'5'},&,1.0,&
{'1'},{'10'},,&,1.0,&
{'8'},{'0'},{'9'},&,1.0,&
{'1'},{'7'},{'1'},&,1.0,&
{'2'},{'2'},{'8'},&,1.0,&
{'9'},{'1'},{'5'},&,1.0,&
{'2'},{'4'},{'2'},&,1.0,&
{'6'},{'4'},{'9'},&,1.0,&
{'4'},{'2'},{'4'},&,1.0,&
