VoteKit RankProfile
Candidates
(Steve Brandt:0),(Pine Salica:1),"(Samantha ""Sam"" Pree-Stinson:2)",(Kevin Nikiforakis:3),(writein:4),(overvote:5)
Max Ranking Length
3
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,&,Weight,&
{'4'},{'1'},{'0'},&,4.0,&
{'5'},{'2'},{'3'},&,1.0,&
{'1'},{'5'},,&,1.0,&
{'1'},{'4'},{'2'},&,1.0,&
{'2'},{'4'},{'3'},&,3.0,&
{'1'},{'3'},{'3'},&,2.0,&
{'3'},{'4'},{'4'},&,21.0,&
{'4'},{'2'},{'3'},&,2.0,&
{'5'},{'0'},{'0'},&,2.0,&
{'3'},{'2'},{'4'},&,6.0,&
{'4'},{'4'},{'0'},&,4.0,&
{'3'},{'4'},{'1'},&,1.0,&
{'0'},{'4'},{'5'},&,1.0,&
{'4'},{'1'},{'3'},&,1.0,&
{'0'},{'2'},{'5'},&,3.0,&
{'3'},{'3'},{'1'},&,6.0,&
{'1'},{'1'},{'5'},&,1.0,&
{'1'},{'2'},{'5'},&,1.0,&
{'1'},{'5'},{'2'},&,2.0,&
{'2'},{'2'},{'3'},&,12.0,&
{'2'},{'4'},{'0'},&,1.0,&
{'3'},{'0'},{'5'},&,1.0,&
{'2'},{'3'},{'5'},&,1.0,&
{'4'},{'3'},{'1'},&,1.0,&
{'5'},{'2'},{'0'},&,2.0,&
{'2'},{'5'},{'4'},&,1.0,&
{'5'},{'5'},,&,1.0,&
{'1'},{'4'},{'0'},&,3.0,&
{'2'},{'5'},{'3'},&,1.0,&
{'1'},{'1'},{'3'},&,2.0,&
{'1'},{'1'},{'2'},&,4.0,&
{'4'},{'3'},{'4'},&,1.0,&
{'2'},{'5'},{'0'},&,1.0,&
{'2'},{'2'},{'5'},&,1.0,&
{'3'},{'3'},{'4'},&,1.0,&
{'3'},{'1'},{'1'},&,3.0,&
{'5'},{'5'},{'4'},&,1.0,&
{'5'},{'2'},{'1'},&,1.0,&
{'4'},{'4'},{'3'},&,1.0,&
{'4'},{'3'},{'2'},&,1.0,&
