6,1,
3,2,4,3,5,1,6,
9,2,4,3,5,6,1,
2,2,4,3,6,5,1,
2,2,4,5,
1,2,4,5,1,3,6,
2,2,4,5,3,1,6,
3,2,4,5,3,6,1,
2,2,4,5,6,1,
3,2,4,5,6,1,3,
10,2,4,5,6,3,1,
4,2,4,6,
2,2,4,6,1,3,5,
1,2,4,6,1,5,3,
2,2,4,6,3,1,5,
4,2,4,6,3,5,1,
1,2,4,6,5,1,3,
4,2,4,6,5,3,1,
55,2,5,
2,2,5,1,
6,2,5,1,3,4,6,
1,2,5,1,3,6,4,
2,2,5,1,4,3,6,
3,2,5,1,6,3,4,
1,2,5,1,6,4,3,
4,2,5,3,
1,2,5,3,1,4,6,
1,2,5,3,1,6,4,
1,2,5,3,4,
4,2,5,3,4,1,6,
9,2,5,3,4,6,1,
1,2,5,3,6,
1,2,5,3,6,1,
1,2,5,3,6,1,4,
3,2,5,3,6,4,1,
1,2,5,4,
1,2,5,4,1,3,6,
3,2,5,4,1,6,3,
1,2,5,4,3,1,6,
1,2,5,4,3,6,
4,2,5,4,3,6,1,
1,2,5,4,6,3,
3,2,5,4,6,3,1,
8,2,5,6,
1,2,5,6,1,3,
5,2,5,6,1,3,4,
1,2,5,6,1,4,3,
1,2,5,6,3,
1,2,5,6,3,1,4,
1,2,5,6,3,4,1,
1,2,5,6,4,1,
1,2,5,6,4,1,3,
12,2,5,6,4,3,1,
96,2,6,
58,2,6,1,
15,2,6,1,3,4,5,
5,2,6,1,3,5,4,
1,2,6,1,4,
1,2,6,1,4,3,
5,2,6,1,4,3,5,
6,2,6,1,4,5,3,
2,2,6,1,5,3,
7,2,6,1,5,3,4,
4,2,6,1,5,4,3,
4,2,6,3,
4,2,6,3,1,4,5,
4,2,6,3,1,5,4,
2,2,6,3,4,1,5,
5,2,6,3,4,5,1,
2,2,6,3,5,1,4,
4,2,6,3,5,4,1,
2,2,6,4,
2,2,6,4,1,5,3,
2,2,6,4,3,1,5,
1,2,6,4,3,5,
4,2,6,4,3,5,1,
4,2,6,4,5,1,3,
6,2,6,4,5,3,1,
2,2,6,5,
1,2,6,5,1,
10,2,6,5,1,3,4,
4,2,6,5,1,4,3,
5,2,6,5,3,1,4,
6,2,6,5,3,4,1,
6,2,6,5,4,1,3,
24,2,6,5,4,3,1,
3391,3,
59,3,1,
5,3,1,2,
18,3,1,2,4,5,6,
1,3,1,2,4,6,5,
7,3,1,2,5,4,6,
1,3,1,2,5,6,
6,3,1,2,5,6,4,
1,3,1,2,6,
4,3,1,2,6,5,4,
1,3,1,4,
1,3,1,4,2,5,6,
2,3,1,4,2,6,5,
1,3,1,4,5,2,6,
3,3,1,4,5,6,2,
2,3,1,4,6,5,2,
2,3,1,5,
1,3,1,5,2,4,6,
3,3,1,5,2,6,4,
2,3,1,5,4,2,6,
1,3,1,5,4,6,2,
3,3,1,5,6,
5,3,1,5,6,2,4,
3,3,1,5,6,4,2,
4,3,1,6,
4,3,1,6,2,4,5,
7,3,1,6,2,5,4,
1,3,1,6,4,2,5,
3,3,1,6,4,5,2,
5,3,1,6,5,2,4,
7,3,1,6,5,4,2,
99,3,2,
13,3,2,1,
58,3,2,1,4,5,6,
2,3,2,1,4,6,5,
10,3,2,1,5,4,6,
8,3,2,1,5,6,4,
2,3,2,1,6,
3,3,2,1,6,4,5,
8,3,2,1,6,5,4,
4,3,2,4,
4,3,2,4,1,5,6,
2,3,2,4,1,6,5,
