6,1,
12,2,4,5,6,1,3,
12,2,4,5,6,3,1,
10,2,4,6,
5,2,4,6,1,3,5,
5,2,4,6,1,5,3,
5,2,4,6,3,1,5,
5,2,4,6,3,5,1,
2,2,4,6,5,
6,2,4,6,5,1,3,
19,2,4,6,5,3,1,
10,2,5,
2,2,5,1,3,6,4,
2,2,5,1,6,3,4,
1,2,5,3,4,1,6,
1,2,5,3,6,4,1,
2,2,5,4,
2,2,5,4,1,3,6,
1,2,5,4,1,6,3,
1,2,5,4,3,1,6,
1,2,5,4,3,6,1,
1,2,5,4,6,1,3,
2,2,5,4,6,3,1,
1,2,5,6,
1,2,5,6,1,4,3,
1,2,5,6,3,1,
2,2,5,6,3,1,4,
1,2,5,6,3,4,1,
2,2,5,6,4,1,3,
3,2,5,6,4,3,1,
14,2,6,
1,2,6,1,3,
1,2,6,1,3,4,5,
1,2,6,1,3,5,4,
1,2,6,1,5,3,4,
1,2,6,3,1,4,5,
1,2,6,3,1,5,4,
1,2,6,3,4,
1,2,6,3,4,1,5,
3,2,6,4,
1,2,6,4,1,
1,2,6,4,1,3,5,
1,2,6,4,1,5,
2,2,6,4,3,1,5,
1,2,6,4,5,1,3,
1,2,6,4,5,3,1,
2,2,6,5,1,3,4,
1,2,6,5,3,1,4,
2,2,6,5,4,3,1,
1076,3,
229,3,1,
2,3,1,2,
23,3,1,2,4,5,6,
5,3,1,2,4,6,5,
3,3,1,2,5,4,6,
1,3,1,2,5,6,4,
2,3,1,2,6,4,5,
1,3,1,2,6,5,
7,3,1,4,
14,3,1,4,2,5,6,
4,3,1,4,2,6,5,
1,3,1,4,5,
6,3,1,4,5,2,6,
2,3,1,4,5,6,
12,3,1,4,5,6,2,
1,3,1,4,6,2,5,
14,3,1,4,6,5,2,
26,3,1,5,
5,3,1,5,2,4,6,
1,3,1,5,2,6,4,
1,3,1,5,4,
8,3,1,5,4,2,6,
5,3,1,5,4,6,2,
11,3,1,5,6,
3,3,1,5,6,2,
17,3,1,5,6,2,4,
3,3,1,5,6,4,
47,3,1,5,6,4,2,
10,3,1,6,
3,3,1,6,2,4,5,
1,3,1,6,2,5,4,
1,3,1,6,4,
3,3,1,6,4,2,5,
2,3,1,6,4,5,
3,3,1,6,4,5,2,
4,3,1,6,5,
7,3,1,6,5,2,4,
1,3,1,6,5,4,
187,3,1,6,5,4,2,
12,3,2,
1,3,2,1,
1,3,2,1,4,
8,3,2,1,4,5,6,
3,3,2,1,4,6,5,
2,3,2,1,5,4,6,
1,3,2,1,5,6,4,
1,3,2,1,6,4,5,
2,3,2,4,
1,3,2,4,1,
4,3,2,4,1,5,6,
1,3,2,4,1,6,5,
2,3,2,4,5,6,1,
1,3,2,4,6,5,1,
1,3,2,5,1,4,6,
1,3,2,5,6,1,4,
2,3,2,6,5,4,1,
39,3,4,
3,3,4,1,
1,3,4,1,2,
4,3,4,1,2,5,6,
5,3,4,1,2,6,5,
2,3,4,1,5,
2,3,4,1,5,2,6,
4,3,4,1,5,6,2,
1,3,4,1,6,2,5,
1,3,4,1,6,5,
3,3,4,2,
8,3,4,2,1,5,6,
7,3,4,2,1,6,5,
1,3,4,2,5,1,
3,3,4,2,5,1,6,
2,3,4,2,5,6,1,
1,3,4,2,6,5,1,
2,3,4,5,
2,3,4,5,1,2,6,
1,3,4,5,1,6,
2,3,4,5,2,1,6,
1,3,4,5,6,
2,3,4,5,6,1,2,
5,3,4,5,6,2,1,
1,3,4,6,
1,3,4,6,1,5,2,
1,3,4,6,2,1,5,
3,3,4,6,5,1,2,
3,3,4,6,5,2,1,
49,3,5,
3,3,5,1,
3,3,5,1,2,4,6,
1,3,5,1,4,6,2,
2,3,5,1,6,2,4,
14,3,5,1,6,4,2,
1,3,5,2,1,4,6,
1,3,5,4,1,2,6,
2,3,5,4,1,6,2,
5,3,5,4,2,1,6,
1,3,5,4,2,6,1,
1,3,5,4,6,
4,3,5,6,
3,3,5,6,1,
1,3,5,6,1,2,
7,3,5,6,1,2,4,
2,3,5,6,1,4,
22,3,5,6,1,4,2,
2,3,5,6,2,1,4,
6,3,5,6,4,1,2,
6,3,5,6,4,2,1,
44,3,6,
2,3,6,1,
4,3,6,1,2,4,5,
2,3,6,1,4,2,5,
4,3,6,1,4,5,2,
4,3,6,1,5,
1,3,6,1,5,2,4,
8,3,6,1,5,4,2,
1,3,6,2,
1,3,6,2,4,1,
1,3,6,2,4,5,1,
1,3,6,4,1,5,2,
2,3,6,4,5,1,2,
1,3,6,4,5,2,1,
4,3,6,5,
4,3,6,5,1,
1,3,6,5,1,2,
4,3,6,5,1,2,4,
1,3,6,5,1,4,
12,3,6,5,1,4,2,
1,3,6,5,2,1,
3,3,6,5,2,1,4,
1,3,6,5,2,4,1,
5,3,6,5,4,1,2,
3,3,6,5,4,2,1,
3887,4,
77,4,1,
14,4,1,2,
3,4,1,2,3,
38,4,1,2,3,5,6,
17,4,1,2,3,6,5,
4,4,1,2,5,3,6,
1,4,1,2,5,6,
5,4,1,2,5,6,3,
2,4,1,2,6,3,5,
2,4,1,2,6,5,
7,4,1,2,6,5,3,
4,4,1,3,
4,4,1,3,2,
14,4,1,3,2,5,6,
7,4,1,3,2,6,5,
8,4,1,3,5,2,6,
20,4,1,3,5,6,2,
2,4,1,3,6,
4,4,1,3,6,2,5,
10,4,1,3,6,5,2,
1,4,1,5,
1,4,1,5,2,3,
1,4,1,5,2,3,6,
2,4,1,5,3,2,6,
4,4,1,5,3,6,2,
1,4,1,5,6,
4,4,1,5,6,2,3,
10,4,1,5,6,3,2,
7,4,1,6,
7,4,1,6,2,3,5,
2,4,1,6,2,5,3,
1,4,1,6,3,
4,4,1,6,3,2,5,
5,4,1,6,3,5,2,
1,4,1,6,5,2,
5,4,1,6,5,2,3,
19,4,1,6,5,3,2,
394,4,2,
16,4,2,1,
5,4,2,1,3,
62,4,2,1,3,5,6,
38,4,2,1,3,6,5,
10,4,2,1,5,3,6,
1,4,2,1,5,6,
8,4,2,1,5,6,3,
1,4,2,1,6,3,
8,4,2,1,6,3,5,
10,4,2,1,6,5,3,
4,4,2,3,
1,4,2,3,1,
21,4,2,3,1,5,6,
26,4,2,3,1,6,5,
1,4,2,3,5,
7,4,2,3,5,1,6,
14,4,2,3,5,6,1,
10,4,2,3,6,1,5,
19,4,2,3,6,5,1,
2,4,2,5,
1,4,2,5,1,
8,4,2,5,1,3,6,
1,4,2,5,1,6,
3,4,2,5,1,6,3,
1,4,2,5,3,
4,4,2,5,3,1,6,
4,4,2,5,3,6,1,
7,4,2,5,6,1,3,
20,4,2,5,6,3,1,
17,4,2,6,
1,4,2,6,1,3,
14,4,2,6,1,3,5,
5,4,2,6,1,5,3,
2,4,2,6,3,
6,4,2,6,3,1,5,
11,4,2,6,3,5,1,
1,4,2,6,5,
23,4,2,6,5,1,3,
23,4,2,6,5,3,1,
41,4,3,
6,4,3,1,
1,4,3,1,2,
13,4,3,1,2,5,6,
9,4,3,1,2,6,5,
1,4,3,1,5,2,
1,4,3,1,5,2,6,
7,4,3,1,5,6,2,
2,4,3,1,6,2,5,
1,4,3,1,6,5,
3,4,3,1,6,5,2,
3,4,3,2,
1,4,3,2,1,
2,4,3,2,1,5,
15,4,3,2,1,5,6,
4,4,3,2,1,6,5,
3,4,3,2,5,1,6,
3,4,3,2,5,6,1,
3,4,3,2,6,5,1,
3,4,3,5,1,2,6,
1,4,3,5,1,6,2,
1,4,3,5,2,1,
5,4,3,5,2,1,6,
1,4,3,5,2,6,1,
5,4,3,5,6,1,2,
7,4,3,5,6,2,1,
4,4,3,6,
1,4,3,6,1,2,5,
1,4,3,6,1,5,
1,4,3,6,1,5,2,
2,4,3,6,2,5,1,
1,4,3,6,5,
5,4,3,6,5,1,2,
5,4,3,6,5,2,1,
37,4,5,
1,4,5,1,
6,4,5,1,2,3,6,
1,4,5,1,2,6,3,
1,4,5,1,3,
5,4,5,1,3,2,6,
2,4,5,1,3,6,2,
2,4,5,1,6,2,3,
4,4,5,1,6,3,2,
3,4,5,2,
2,4,5,2,1,3,6,
2,4,5,2,1,6,3,
1,4,5,2,3,
2,4,5,2,3,1,6,
4,4,5,2,3,6,1,
3,4,5,2,6,3,1,
6,4,5,3,
7,4,5,3,1,2,6,
1,4,5,3,1,6,2,
4,4,5,3,2,1,6,
1,4,5,3,6,1,2,
4,4,5,3,6,2,1,
5,4,5,6,
1,4,5,6,1,2,
10,4,5,6,1,2,3,
4,4,5,6,1,3,2,
1,4,5,6,2,1,
9,4,5,6,2,1,3,
3,4,5,6,2,3,1,
12,4,5,6,3,1,2,
14,4,5,6,3,2,1,
80,4,6,
2,4,6,1,
7,4,6,1,2,3,5,
6,4,6,1,2,5,3,
1,4,6,1,3,
1,4,6,1,3,2,
2,4,6,1,3,2,5,
2,4,6,1,3,5,2,
3,4,6,1,5,
4,4,6,1,5,2,3,
7,4,6,1,5,3,2,
13,4,6,2,
8,4,6,2,1,3,5,
4,4,6,2,1,5,3,
4,4,6,2,3,1,5,
6,4,6,2,3,5,1,
2,4,6,2,5,
5,4,6,2,5,1,3,
3,4,6,2,5,3,1,
1,4,6,3,
2,4,6,3,1,2,5,
2,4,6,3,1,5,2,
1,4,6,3,2,1,
3,4,6,3,2,1,5,
2,4,6,3,2,5,1,
2,4,6,3,5,1,2,
1,4,6,3,5,2,1,
9,4,6,5,
1,4,6,5,1,2,
5,4,6,5,1,2,3,
11,4,6,5,1,3,2,
1,4,6,5,2,
7,4,6,5,2,1,3,
10,4,6,5,2,3,1,
2,4,6,5,3,
15,4,6,5,3,1,2,
8,4,6,5,3,2,1,
1867,5,
37,5,1,
7,5,1,2,3,4,6,
1,5,1,2,3,6,4,
1,5,1,2,4,3,6,
1,5,1,2,6,3,
