6,1,
3,2,4,6,1,3,5,
1,2,4,6,3,1,5,
2,2,4,6,3,5,1,
6,2,4,6,5,3,1,
57,2,5,
2,2,5,1,
1,2,5,1,3,4,6,
2,2,5,1,3,6,4,
1,2,5,1,6,4,
1,2,5,1,6,4,3,
1,2,5,3,
1,2,5,3,1,4,6,
1,2,5,3,1,6,4,
2,2,5,3,4,1,6,
4,2,5,3,4,6,1,
1,2,5,3,6,1,4,
6,2,5,3,6,4,1,
2,2,5,4,
1,2,5,4,1,3,
2,2,5,4,1,3,6,
1,2,5,4,3,
8,2,5,4,3,1,6,
4,2,5,4,3,6,1,
1,2,5,4,6,
2,2,5,4,6,3,1,
2,2,5,6,
4,2,5,6,1,3,4,
1,2,5,6,3,1,
5,2,5,6,3,1,4,
4,2,5,6,3,4,1,
1,2,5,6,4,1,3,
3,2,5,6,4,3,1,
38,2,6,
1,2,6,1,3,
7,2,6,1,3,4,5,
1,2,6,1,4,5,3,
1,2,6,1,5,3,4,
2,2,6,3,
4,2,6,3,1,4,5,
4,2,6,3,1,5,4,
4,2,6,3,4,1,5,
1,2,6,3,4,5,1,
3,2,6,3,5,1,4,
2,2,6,3,5,4,1,
1,2,6,4,
1,2,6,4,1,3,5,
1,2,6,4,3,5,1,
1,2,6,4,5,1,
3,2,6,4,5,3,1,
5,2,6,5,
1,2,6,5,1,3,
4,2,6,5,1,3,4,
1,2,6,5,1,4,3,
4,2,6,5,3,1,4,
2,2,6,5,3,4,1,
2,2,6,5,4,1,3,
4,2,6,5,4,3,1,
24737,3,
97,3,1,
11,3,1,2,
1,3,1,2,4,
2,3,1,2,4,5,
49,3,1,2,4,5,6,
89,3,1,2,4,6,5,
8,3,1,2,5,4,6,
5,3,1,2,5,6,4,
4,3,1,2,6,
1,3,1,2,6,4,
45,3,1,2,6,4,5,
19,3,1,2,6,5,4,
4,3,1,4,
8,3,1,4,2,5,6,
24,3,1,4,2,6,5,
2,3,1,4,5,2,6,
3,3,1,4,5,6,2,
4,3,1,4,6,2,5,
2,3,1,4,6,5,2,
5,3,1,5,
4,3,1,5,2,4,6,
1,3,1,5,2,6,
7,3,1,5,2,6,4,
1,3,1,5,4,2,6,
2,3,1,5,4,6,2,
1,3,1,5,6,2,
14,3,1,5,6,2,4,
7,3,1,5,6,4,2,
21,3,1,6,
1,3,1,6,2,
64,3,1,6,2,4,5,
31,3,1,6,2,5,4,
17,3,1,6,4,2,5,
5,3,1,6,4,5,2,
7,3,1,6,5,
2,3,1,6,5,2,
30,3,1,6,5,2,4,
36,3,1,6,5,4,2,
507,3,2,
17,3,2,1,
8,3,2,1,4,
1,3,2,1,4,5,
137,3,2,1,4,5,6,
1,3,2,1,4,6,
214,3,2,1,4,6,5,
24,3,2,1,5,4,6,
22,3,2,1,5,6,4,
3,3,2,1,6,
1,3,2,1,6,4,
136,3,2,1,6,4,5,
1,3,2,1,6,5,
65,3,2,1,6,5,4,
130,3,2,4,
1,3,2,4,1,
117,3,2,4,1,5,6,
251,3,2,4,1,6,5,
6,3,2,4,5,
105,3,2,4,5,1,6,
2,3,2,4,5,6,
167,3,2,4,5,6,1,
2,3,2,4,6,
1,3,2,4,6,1,
195,3,2,4,6,1,5,
2,3,2,4,6,5,
74,3,2,4,6,5,1,
17,3,2,5,
14,3,2,5,1,4,6,
10,3,2,5,1,6,4,
4,3,2,5,4,
34,3,2,5,4,1,6,
50,3,2,5,4,6,1,
1,3,2,5,6,
1,3,2,5,6,1,
32,3,2,5,6,1,4,
54,3,2,5,6,4,1,
33,3,2,6,
3,3,2,6,1,
181,3,2,6,1,4,5,
1,3,2,6,1,5,
45,3,2,6,1,5,4,
1,3,2,6,4,
1,3,2,6,4,1,
97,3,2,6,4,1,5,
3,3,2,6,4,5,
47,3,2,6,4,5,1,
3,3,2,6,5,
37,3,2,6,5,1,4,
78,3,2,6,5,4,1,
610,3,4,
5,3,4,1,
22,3,4,1,2,5,6,
42,3,4,1,2,6,5,
1,3,4,1,5,6,
3,3,4,1,5,6,2,
1,3,4,1,6,
5,3,4,1,6,2,5,
1,3,4,1,6,5,
3,3,4,1,6,5,2,
136,3,4,2,
4,3,4,2,1,
185,3,4,2,1,5,6,
1,3,4,2,1,6,
390,3,4,2,1,6,5,
9,3,4,2,5,
2,3,4,2,5,1,
138,3,4,2,5,1,6,
158,3,4,2,5,6,1,
4,3,4,2,6,
1,3,4,2,6,1,
221,3,4,2,6,1,5,
83,3,4,2,6,5,1,
28,3,4,5,
1,3,4,5,1,2,
9,3,4,5,1,2,6,
6,3,4,5,1,6,2,
4,3,4,5,2,
1,3,4,5,2,1,
55,3,4,5,2,1,6,
52,3,4,5,2,6,1,
2,3,4,5,6,
2,3,4,5,6,1,
24,3,4,5,6,1,2,
68,3,4,5,6,2,1,
18,3,4,6,
45,3,4,6,1,2,5,
1,3,4,6,1,5,
5,3,4,6,1,5,2,
3,3,4,6,2,
2,3,4,6,2,1,
102,3,4,6,2,1,5,
1,3,4,6,2,5,
28,3,4,6,2,5,1,
4,3,4,6,5,
7,3,4,6,5,1,2,
35,3,4,6,5,2,1,
690,3,5,
4,3,5,1,
1,3,5,1,2,
32,3,5,1,2,4,6,
2,3,5,1,2,6,
10,3,5,1,2,6,4,
1,3,5,1,4,
4,3,5,1,4,2,6,
1,3,5,1,4,6,2,
1,3,5,1,6,
19,3,5,1,6,2,4,
8,3,5,1,6,4,2,
16,3,5,2,
2,3,5,2,1,
37,3,5,2,1,4,6,
2,3,5,2,1,6,
25,3,5,2,1,6,4,
2,3,5,2,4,
28,3,5,2,4,1,6,
1,3,5,2,4,6,
52,3,5,2,4,6,1,
1,3,5,2,6,
4,3,5,2,6,1,
36,3,5,2,6,1,4,
50,3,5,2,6,4,1,
31,3,5,4,
10,3,5,4,1,2,6,
1,3,5,4,1,6,
4,3,5,4,1,6,2,
51,3,5,4,2,1,6,
54,3,5,4,2,6,1,
4,3,5,4,6,
10,3,5,4,6,1,2,
2,3,5,4,6,2,
