6,1,
6,2,3,4,1,
166,2,3,4,1,5,6,
57,2,3,4,1,6,5,
1,2,3,4,5,
1,2,3,4,5,1,
46,2,3,4,5,1,6,
4,2,3,4,5,6,
82,2,3,4,5,6,1,
20,2,3,4,6,1,5,
27,2,3,4,6,5,1,
12,2,3,5,
25,2,3,5,1,4,6,
1,2,3,5,1,6,
7,2,3,5,1,6,4,
21,2,3,5,4,1,6,
10,2,3,5,4,6,1,
2,2,3,5,6,
2,2,3,5,6,1,
35,2,3,5,6,1,4,
22,2,3,5,6,4,1,
25,2,3,6,
35,2,3,6,1,4,5,
19,2,3,6,1,5,4,
21,2,3,6,4,1,5,
2,2,3,6,4,5,
10,2,3,6,4,5,1,
1,2,3,6,5,
1,2,3,6,5,1,
20,2,3,6,5,1,4,
22,2,3,6,5,4,1,
2865,2,4,
99,2,4,1,
6,2,4,1,3,
3,2,4,1,3,5,
424,2,4,1,3,5,6,
1,2,4,1,3,6,
108,2,4,1,3,6,5,
5,2,4,1,5,
1,2,4,1,5,3,
298,2,4,1,5,3,6,
12,2,4,1,5,6,
126,2,4,1,5,6,3,
3,2,4,1,6,3,
52,2,4,1,6,3,5,
2,2,4,1,6,5,
70,2,4,1,6,5,3,
55,2,4,3,
6,2,4,3,1,
1,2,4,3,1,5,
223,2,4,3,1,5,6,
1,2,4,3,1,6,
67,2,4,3,1,6,5,
1,2,4,3,5,
56,2,4,3,5,1,6,
5,2,4,3,5,6,
31,2,4,3,5,6,1,
2,2,4,3,6,
22,2,4,3,6,1,5,
22,2,4,3,6,5,1,
22,2,4,5,
3,2,4,5,1,
1,2,4,5,1,3,
118,2,4,5,1,3,6,
3,2,4,5,1,6,
39,2,4,5,1,6,3,
2,2,4,5,3,
44,2,4,5,3,1,6,
1,2,4,5,3,6,
11,2,4,5,3,6,1,
8,2,4,5,6,1,
35,2,4,5,6,1,3,
31,2,4,5,6,3,1,
12,2,4,6,
3,2,4,6,1,3,
19,2,4,6,1,3,5,
22,2,4,6,1,5,3,
2,2,4,6,3,1,
18,2,4,6,3,1,5,
8,2,4,6,3,5,1,
2,2,4,6,5,
2,2,4,6,5,1,
30,2,4,6,5,1,3,
33,2,4,6,5,3,1,
166,2,5,
14,2,5,1,
1,2,5,1,3,
1,2,5,1,3,4,
37,2,5,1,3,4,6,
2,2,5,1,3,6,
18,2,5,1,3,6,4,
1,2,5,1,4,
49,2,5,1,4,3,6,
20,2,5,1,4,6,3,
13,2,5,1,6,3,4,
12,2,5,1,6,4,3,
11,2,5,3,
15,2,5,3,1,4,6,
7,2,5,3,1,6,4,
1,2,5,3,4,
1,2,5,3,4,1,
14,2,5,3,4,1,6,
1,2,5,3,4,6,
4,2,5,3,4,6,1,
6,2,5,3,6,1,4,
8,2,5,3,6,4,1,
15,2,5,4,
2,2,5,4,1,
1,2,5,4,1,3,
79,2,5,4,1,3,6,
1,2,5,4,1,6,
16,2,5,4,1,6,3,
1,2,5,4,3,1,
18,2,5,4,3,1,6,
1,2,5,4,3,6,
2,2,5,4,3,6,1,
4,2,5,4,6,1,3,
