6,3,
24,1,2,
7,1,2,3,
1,1,2,3,4,5,
6,1,2,3,4,5,6,
3,1,2,3,4,6,5,
1,1,2,3,5,
1,1,2,3,5,4,6,
1,1,2,3,6,4,5,
3,1,2,4,
1,1,2,4,3,6,5,
1,1,2,4,6,
1,1,2,4,6,3,5,
1,1,2,5,3,4,6,
1,1,2,5,3,6,4,
1,1,2,5,6,4,3,
1,1,2,6,4,3,5,
32,1,3,
9,1,3,2,
1,1,3,2,4,
5,1,3,2,4,5,6,
7,1,3,2,4,6,5,
2,1,3,2,5,4,6,
1,1,3,2,5,6,
1,1,3,2,6,
1,1,3,2,6,4,5,
1,1,3,2,6,5,
6,1,3,4,
3,1,3,4,6,2,5,
4,1,3,5,
1,1,3,5,2,
1,1,3,5,4,2,6,
5,1,3,6,
1,1,3,6,2,4,5,
1,1,3,6,4,2,5,
1,1,3,6,4,5,2,
36,1,4,
1,1,4,2,3,6,5,
1,1,4,2,5,3,6,
1,1,4,2,6,3,5,
1,1,4,2,6,5,3,
2,1,4,3,
1,1,4,3,2,5,6,
2,1,4,3,2,6,5,
2,1,4,3,6,2,5,
1,1,4,3,6,5,2,
1,1,4,5,
1,1,4,5,2,3,6,
1,1,4,5,3,2,6,
58,1,4,6,
1,1,4,6,2,3,
6,1,4,6,2,3,5,
1,1,4,6,2,5,3,
4,1,4,6,3,2,5,
1,1,4,6,3,5,2,
2,1,4,6,5,3,2,
15,1,5,
1,1,5,2,3,6,4,
3,1,5,3,
1,1,5,4,
1,1,5,4,3,2,6,
1,1,5,4,6,2,3,
1,1,5,4,6,3,2,
1,1,5,6,
1,1,5,6,3,2,4,
1,1,5,6,4,3,2,
12,1,6,
2,1,6,2,4,
1,1,6,3,
1,1,6,4,
1,1,6,4,2,3,5,
1,1,6,4,3,2,5,
26,2,1,
5,2,1,3,
3,2,1,3,4,5,6,
1,2,1,3,4,6,5,
4,2,1,4,
1,2,1,4,3,6,5,
3,2,1,4,6,3,5,
1,2,1,5,
1,2,1,5,3,4,6,
1,2,1,5,4,6,3,
1,2,1,6,4,
69,2,3,
4,2,3,1,
5,2,3,1,4,5,6,
3,2,3,1,4,6,5,
6,2,3,1,6,4,5,
1,2,3,1,6,5,4,
9,2,3,4,
1,2,3,4,1,5,6,
1,2,3,4,1,6,
1,2,3,4,1,6,5,
2,2,3,4,5,1,6,
2,2,3,4,5,6,1,
1,2,3,4,6,1,5,
2,2,3,5,
8,2,3,6,
1,2,3,6,1,4,5,
1,2,3,6,4,1,5,
1,2,3,6,4,5,1,
22,2,4,
2,2,4,1,
1,2,4,1,3,6,5,
1,2,4,3,
1,2,4,3,1,5,6,
2,2,4,3,1,6,5,
1,2,4,3,5,6,1,
1,2,4,5,
2,2,4,5,3,
1,2,4,5,3,6,1,
1,2,4,6,
2,2,4,6,1,3,5,
7,2,5,
1,2,5,1,6,3,4,
1,2,5,3,1,6,4,
1,2,5,3,6,
1,2,5,6,
1,2,5,6,3,1,4,
1,2,5,6,3,4,1,
23,2,6,
2,2,6,1,
