1,6,1,2,3,4,5,
2,6,1,3,
2,6,1,3,4,2,5,
1,6,1,3,5,2,4,
1,6,1,3,5,4,2,
1,6,1,5,2,3,4,
1,6,1,5,3,
1,6,1,5,4,3,2,
1,6,2,
1,6,2,3,1,
62,6,3,
2,6,3,1,
1,6,3,1,2,4,5,
1,6,3,1,4,2,5,
1,6,3,1,5,2,4,
1,6,3,1,5,4,2,
1,6,3,2,
2,6,3,2,1,4,5,
1,6,3,2,4,5,1,
1,6,3,2,5,4,1,
3,6,3,4,
1,6,3,4,1,2,5,
1,6,3,4,2,1,
1,6,3,4,2,5,1,
4,6,3,4,5,
4,6,3,4,5,1,2,
6,6,3,4,5,2,1,
4,6,3,5,
1,6,3,5,1,2,4,
1,6,3,5,2,
1,6,3,5,2,1,4,
1,6,3,5,2,4,1,
2,6,3,5,4,
5,6,3,5,4,1,2,
6,6,3,5,4,2,1,
6,6,4,
2,6,4,3,
1,6,4,3,5,1,2,
2,6,4,3,5,2,1,
1,6,4,5,1,3,2,
1,6,4,5,2,1,
2,6,4,5,3,2,1,
108,6,5,
1,6,5,1,2,3,4,
2,6,5,1,3,2,4,
1,6,5,1,3,4,2,
1,6,5,2,
1,6,5,2,1,3,4,
4,6,5,3,
1,6,5,3,1,
1,6,5,3,1,2,4,
1,6,5,3,2,1,4,
2,6,5,3,2,4,1,
4,6,5,3,4,
6,6,5,3,4,1,2,
6,6,5,3,4,2,1,
1,6,5,4,2,1,3,
1,6,5,4,2,3,1,
1,6,5,4,3,
1,6,5,4,3,1,2,
3,6,5,4,3,2,1,
Candidate 1,ETHERIDGE Vicki,A,
Candidate 2,CATELOTTI Nikki,A,
Candidate 3,RYAN John,B,
Candidate 4,BLACK Josh,B,
Candidate 5,MATTHEWS Greg,UNGROUPED CANDIDATES,
Candidate 6,STEVENS Kris,UNGROUPED CANDIDATES,
NSW Local Government 2017 Dubbo Regional - Dubbo Central Ward,
