6,3,
1,3,1,2,6,5,4,
11,3,1,4,
6,3,1,4,2,5,6,
2,3,1,4,5,2,6,
1,3,1,4,5,6,2,
41,3,1,5,
2,3,1,5,2,
5,3,1,5,2,4,6,
2,3,1,5,2,6,4,
1,3,1,5,4,
1,3,1,5,4,2,6,
2,3,1,5,4,6,2,
1,3,1,5,6,2,
1,3,1,5,6,2,4,
2,3,1,5,6,4,2,
7,3,1,6,
1,3,1,6,2,
1,3,1,6,2,4,5,
1,3,1,6,2,5,4,
1,3,1,6,5,
93,3,2,
9,3,2,1,
17,3,2,1,4,5,6,
2,3,2,1,4,6,5,
2,3,2,1,5,4,6,
2,3,2,1,5,6,4,
10,3,2,4,
2,3,2,4,1,5,6,
3,3,2,4,5,1,6,
3,3,2,4,5,6,1,
12,3,2,5,
1,3,2,5,1,6,4,
1,3,2,5,4,
1,3,2,5,6,4,1,
3,3,2,6,
1,3,2,6,1,5,4,
1,3,2,6,4,5,1,
1,3,2,6,5,4,1,
70,3,4,
14,3,4,1,
3,3,4,1,2,5,6,
1,3,4,1,2,6,5,
9,3,4,2,
2,3,4,2,1,5,6,
1,3,4,2,5,1,6,
1,3,4,2,5,6,1,
1,3,4,2,6,
9,3,4,5,
6,3,4,5,1,2,6,
1,3,4,5,2,1,
4,3,4,5,2,1,6,
3,3,4,5,6,1,2,
4,3,4,5,6,2,1,
2,3,4,6,
1,3,4,6,1,2,5,
3,3,4,6,5,2,1,
104,3,5,
20,3,5,1,
1,3,5,1,2,
7,3,5,1,2,4,6,
1,3,5,1,2,6,
2,3,5,1,4,2,
1,3,5,1,4,2,6,
3,3,5,1,6,4,2,
17,3,5,2,
1,3,5,2,1,
3,3,5,2,1,4,6,
3,3,5,2,4,
2,3,5,2,4,1,6,
8,3,5,4,
1,3,5,4,1,
4,3,5,4,1,2,6,
1,3,5,4,2,
1,3,5,4,2,1,6,
1,3,5,4,6,2,1,
3,3,5,6,
1,3,5,6,1,2,4,
1,3,5,6,2,
2,3,5,6,2,4,1,
1,3,5,6,4,1,2,
1,3,5,6,4,2,1,
44,3,6,
5,3,6,1,
1,3,6,1,2,4,5,
1,3,6,1,2,5,4,
2,3,6,1,4,5,2,
1,3,6,1,5,
1,3,6,1,5,4,2,
2,3,6,2,
1,3,6,2,1,4,5,
2,3,6,2,4,5,1,
4,3,6,4,
1,3,6,4,5,1,2,
1,3,6,5,
3,3,6,5,1,2,4,
2,3,6,5,2,
2,3,6,5,4,2,1,
90,4,1,
18,4,1,2,
17,4,1,2,3,5,6,
3,4,1,2,3,6,5,
4,4,1,2,5,3,6,
4,4,1,2,5,6,3,
1,4,1,2,6,3,5,
1,4,1,2,6,5,3,
7,4,1,3,
3,4,1,3,2,5,6,
1,4,1,3,5,
16,4,1,5,
3,4,1,5,2,3,6,
1,4,1,5,2,6,3,
3,4,1,5,6,3,2,
5,4,1,6,
5,4,1,6,2,3,5,
1,4,1,6,3,
1,4,1,6,3,2,5,
1,4,1,6,5,2,3,
97,4,2,
