6,3,
34,1,2,
11,1,2,3,
17,1,2,3,4,5,6,
1,1,2,3,4,6,5,
1,1,2,3,5,4,6,
1,1,2,4,
3,1,2,4,3,5,6,
1,1,2,5,
1,1,2,5,3,4,6,
1,1,2,6,5,4,3,
24,1,3,
6,1,3,2,
2,1,3,2,4,
2,1,3,2,4,5,6,
3,1,3,2,4,6,5,
3,1,3,4,
1,1,3,4,2,5,6,
1,1,3,4,6,
1,1,3,4,6,2,5,
1,1,3,4,6,5,2,
1,1,3,5,
1,1,3,5,2,
1,1,3,5,2,4,6,
1,1,3,5,4,6,2,
1,1,3,6,
1,1,3,6,2,4,5,
2,1,3,6,5,4,2,
14,1,4,
2,1,4,2,
3,1,4,2,3,5,6,
1,1,4,2,5,3,6,
1,1,4,2,5,6,3,
1,1,4,3,
3,1,4,3,2,5,6,
1,1,4,5,2,3,6,
1,1,4,6,3,2,5,
1,1,4,6,5,3,2,
12,1,5,
1,1,5,2,4,6,3,
1,1,5,2,6,4,3,
2,1,5,3,
1,1,5,3,2,
1,1,5,3,2,6,4,
1,1,5,3,4,2,6,
1,1,5,3,4,6,2,
2,1,5,3,6,4,2,
1,1,5,6,3,2,4,
1,1,5,6,4,3,2,
14,1,6,
1,1,6,2,
1,1,6,2,3,4,5,
1,1,6,2,3,5,4,
1,1,6,3,
2,1,6,3,2,4,5,
1,1,6,3,4,5,2,
1,1,6,3,5,2,4,
1,1,6,4,
16,2,1,
6,2,1,3,
7,2,1,3,4,5,6,
1,2,1,3,4,6,5,
2,2,1,4,
1,2,1,4,3,
3,2,1,4,3,5,6,
1,2,1,4,5,3,6,
1,2,1,5,
1,2,1,5,3,4,6,
32,2,3,
3,2,3,1,
2,2,3,1,4,
1,2,3,1,4,5,6,
1,2,3,1,4,6,5,
1,2,3,1,6,4,5,
6,2,3,4,
1,2,3,4,1,5,6,
1,2,3,4,6,5,1,
4,2,3,5,
2,2,3,5,1,4,6,
2,2,3,6,
1,2,3,6,4,5,1,
1,2,3,6,5,4,1,
5,2,4,
2,2,4,1,
1,2,4,1,3,5,6,
1,2,4,1,6,3,5,
2,2,4,3,
1,2,4,3,5,6,1,
1,2,4,3,6,1,5,
9,2,5,
2,2,5,1,
1,2,5,1,3,4,6,
1,2,5,1,4,3,6,
2,2,5,3,
1,2,5,3,1,4,6,
1,2,5,3,4,6,1,
2,2,5,6,4,3,1,
5,2,6,
1,2,6,1,3,4,
1,2,6,1,4,3,5,
3,2,6,3,
1,2,6,3,4,1,5,
1,2,6,4,5,3,1,
1,2,6,5,
18,3,1,
2,3,1,2,
8,3,1,2,4,5,6,
2,3,1,2,4,6,5,
1,3,1,2,5,4,6,
1,3,1,2,5,6,4,
1,3,1,2,6,4,5,
1,3,1,4,
2,3,1,4,2,5,6,
1,3,1,4,5,6,2,
1,3,1,4,6,5,2,
2,3,1,5,
1,3,1,5,2,4,6,
1,3,1,5,2,6,4,
1,3,1,5,6,2,4,
3,3,1,6,
1,3,1,6,2,4,5,
1,3,1,6,4,5,2,
1,3,1,6,5,2,
1,3,1,6,5,4,2,
65,3,2,
12,3,2,1,
2,3,2,1,4,
17,3,2,1,4,5,6,
4,3,2,1,4,6,5,
3,3,2,1,5,4,6,
3,3,2,1,5,6,4,
1,3,2,1,6,4,5,
7,3,2,4,
5,3,2,4,1,5,6,
1,3,2,4,5,1,
2,3,2,4,5,1,6,
1,3,2,4,5,6,1,
1,3,2,5,
1,3,2,5,1,4,6,
1,3,2,5,1,6,
1,3,2,5,6,4,1,
1,3,2,6,
1,3,2,6,1,5,4,
1,3,2,6,5,4,1,
108,3,4,
5,3,4,1,
4,3,4,1,2,5,6,
2,3,4,1,2,6,5,
1,3,4,1,5,6,2,
2,3,4,1,6,5,2,
19,3,4,2,
2,3,4,2,1,
1,3,4,2,1,5,
9,3,4,2,1,5,6,
1,3,4,2,1,6,5,
5,3,4,2,5,1,6,
2,3,4,2,5,6,1,
1,3,4,2,6,
2,3,4,2,6,5,1,
1,3,4,5,
2,3,4,5,2,1,6,
2,3,4,5,6,1,2,
1,3,4,5,6,2,1,
5,3,4,6,
2,3,4,6,1,2,5,
2,3,4,6,1,5,2,
1,3,4,6,2,5,1,
1,3,4,6,5,1,2,
2,3,4,6,5,2,1,
22,3,5,
4,3,5,1,2,4,6,
1,3,5,1,4,2,6,
2,3,5,1,4,6,2,
1,3,5,1,6,4,2,
5,3,5,2,
1,3,5,2,1,4,6,
2,3,5,2,6,1,4,
1,3,5,2,6,4,1,
1,3,5,4,2,6,1,
1,3,5,6,
1,3,5,6,2,1,4,
2,3,5,6,4,1,2,
3,3,5,6,4,2,1,
12,3,6,
3,3,6,1,
1,3,6,1,2,4,5,
4,3,6,1,4,2,5,
1,3,6,1,4,5,2,
1,3,6,1,5,
2,3,6,2,
1,3,6,2,1,4,5,
3,3,6,4,
3,3,6,4,1,2,5,
1,3,6,4,5,2,1,
2,3,6,5,
1,3,6,5,4,1,2,
5,4,1,
1,4,1,6,
1,4,1,6,5,2,3,
7,4,2,
1,4,2,1,3,5,6,
1,4,2,1,3,6,5,
1,4,2,3,
2,4,2,3,5,1,6,
15,4,3,
1,4,3,1,
7,4,3,2,
2,4,3,2,1,5,6,
4,4,3,2,5,6,1,
1,4,3,2,6,1,5,
1,4,3,5,2,1,6,
1,4,3,5,6,1,2,
1,4,3,6,1,2,5,
1,4,3,6,1,5,2,
1,4,3,6,5,2,1,
2,4,5,
