6,2,
527,1,
2794,1,2,
9,1,2,3,
864,1,2,3,4,
3133,1,2,3,4,5,6,
6,1,2,3,4,6,5,
4,1,2,3,5,4,6,
2,1,2,3,5,6,4,
1,1,2,3,6,5,4,
1,1,2,4,3,
5,1,2,4,3,5,6,
2,1,2,4,3,6,5,
1,1,2,4,5,6,3,
1,1,2,5,3,6,4,
96,1,2,5,6,
279,1,2,5,6,3,4,
1,1,2,6,5,3,4,
2,1,2,6,5,4,3,
312,1,3,
33,1,3,2,
18,1,3,2,4,
114,1,3,2,4,5,6,
14,1,3,2,4,6,5,
5,1,3,2,5,4,6,
4,1,3,2,5,6,4,
2,1,3,4,2,
15,1,3,4,2,5,6,
1,1,3,4,2,6,
2,1,3,4,2,6,5,
1,1,3,4,5,2,6,
1,1,3,4,5,6,2,
27,1,3,5,
15,1,3,5,2,4,6,
3,1,3,5,2,6,4,
4,1,3,5,4,2,6,
2,1,3,5,4,6,2,
1,1,3,5,6,
7,1,3,5,6,2,4,
7,1,3,5,6,4,2,
1,1,3,6,
1,1,3,6,2,4,5,
1,1,3,6,5,4,2,
13,1,4,
1,1,4,2,3,5,6,
1,1,4,2,3,6,5,
1,1,4,3,
1,1,4,3,2,
1,1,4,3,2,5,6,
2,1,4,3,2,6,5,
1,1,4,3,5,6,2,
1,1,4,5,
1,1,4,5,6,3,2,
31,1,5,
1,1,5,2,
1,1,5,2,3,
5,1,5,2,3,4,6,
3,1,5,2,6,3,4,
3,1,5,3,
1,1,5,3,2,4,6,
3,1,5,3,2,6,4,
2,1,5,3,6,4,2,
2,1,5,4,
1,1,5,4,2,3,6,
3,1,5,6,2,3,4,
1,1,5,6,3,2,4,
1,1,5,6,4,3,2,
2,1,6,
1,1,6,3,2,4,5,
1,1,6,5,
53,2,
14,2,1,
2,2,1,3,
4,2,1,3,4,5,6,
1,2,1,3,5,
1,2,1,4,
1,2,1,4,3,
1,2,1,4,3,5,6,
1,2,1,4,6,
1,2,1,5,3,
2,2,1,5,6,4,3,
1,2,1,6,
