4,2,
47,1,
4,1,2,
1,1,2,3,
14,1,2,3,4,
6,1,2,4,3,
6,1,3,
9,1,3,2,4,
1,1,3,4,
12,1,3,4,2,
4,1,4,
10,1,4,2,3,
15,1,4,3,2,
48,2,
7,2,1,
10,2,1,3,4,
3,2,1,4,3,
11,2,3,
10,2,3,1,4,
5,2,3,4,1,
6,2,4,
14,2,4,1,3,
3,2,4,3,1,
57,3,
8,3,1,
8,3,1,2,4,
9,3,1,4,2,
6,3,2,
6,3,2,1,4,
4,3,2,4,1,
15,3,4,
27,3,4,1,2,
20,3,4,2,1,
136,4,
17,4,1,
19,4,1,2,3,
22,4,1,3,2,
11,4,2,
20,4,2,1,3,
17,4,2,3,1,
27,4,3,
1,4,3,1,
34,4,3,1,2,
37,4,3,2,1,
Candidate 1,MURPHY Peter,None,
Candidate 2,FORBES Donald,None,
Candidate 3,SACCON Giana,None,
Candidate 4,RHODES Kim,None,
NSW Local Government 2021 Tenterfield - Ward D,
