4,3,
9,1,2,
1,1,2,3,
7,1,2,3,4,
5,1,2,4,3,
8,1,3,
2,1,3,2,
8,1,3,2,4,
2,1,3,4,2,
11,1,4,
2,1,4,2,3,
2,1,4,3,
4,1,4,3,2,
10,2,1,
5,2,1,3,
8,2,1,3,4,
2,2,1,4,
6,2,1,4,3,
24,2,3,
7,2,3,1,
19,2,3,1,4,
6,2,3,4,
14,2,3,4,1,
21,2,4,
2,2,4,1,
9,2,4,1,3,
3,2,4,3,
8,2,4,3,1,
5,3,1,
3,3,1,2,
3,3,1,2,4,
1,3,1,4,
1,3,1,4,2,
13,3,2,
8,3,2,1,
13,3,2,1,4,
3,3,2,4,
5,3,2,4,1,
6,3,4,
3,3,4,1,
2,3,4,1,2,
1,3,4,2,1,
15,4,1,
2,4,1,2,
5,4,1,2,3,
1,4,1,3,
5,4,1,3,2,
8,4,2,
4,4,2,1,3,
1,4,2,3,
5,4,2,3,1,
7,4,3,
4,4,3,1,2,
6,4,3,2,1,
Candidate 1,SINCLAIR Kelly,None,
Candidate 2,McCLOSKEY Dirk,None,
Candidate 3,BREWER Andrew,None,
Candidate 4,VAN ELDONK Jo,None,
NSW Local Government 2021 Warren - D Ward,
