6,2
2,5,3,6,1
2,5,3,6,2
10,5,3,6,4
7,5,4
1,5,4,1,3
1,5,4,1,6
1,5,4,2
1,5,4,2,1
4,5,4,2,3
3,5,4,2,6
1,5,4,3
1,5,4,3,1
4,5,4,3,2
4,5,4,3,6
1,5,4,6
3,5,4,6,2
4,5,4,6,3
6,5,6
1,5,6,1
1,5,6,1,2
3,5,6,1,3
2,5,6,1,4
1,5,6,2,1
2,5,6,2,4
1,5,6,3
1,5,6,3,1
1,5,6,3,2
9,5,6,3,4
12,5,6,4,1
5,5,6,4,2
6,5,6,4,3
43,6
10,6,1
2,6,1,2
1,6,1,2,3
3,6,1,2,4
1,6,1,2,5
1,6,1,3
3,6,1,3,2
3,6,1,3,4
3,6,1,3,5
1,6,1,4
3,6,1,4,2
5,6,1,4,3
4,6,1,4,5
3,6,1,5
3,6,1,5,2
7,6,1,5,4
9,6,2
2,6,2,1
6,6,2,1,3
4,6,2,1,4
4,6,2,1,5
5,6,2,3
8,6,2,3,1
7,6,2,3,4
3,6,2,3,5
1,6,2,4
5,6,2,4,3
1,6,2,5
2,6,2,5,1
5,6,2,5,3
3,6,2,5,4
53,6,3
4,6,3,1
6,6,3,1,2
7,6,3,1,4
3,6,3,1,5
6,6,3,2
13,6,3,2,1
12,6,3,2,4
12,6,3,2,5
2,6,3,4
8,6,3,4,1
3,6,3,4,2
17,6,3,4,5
3,6,3,5
3,6,3,5,1
7,6,3,5,2
10,6,3,5,4
12,6,4
2,6,4,1
2,6,4,1,2
1,6,4,1,3
7,6,4,1,5
1,6,4,2
2,6,4,2,1
8,6,4,2,3
3,6,4,2,5
3,6,4,3
3,6,4,3,1
2,6,4,3,2
5,6,4,3,5
4,6,4,5
12,6,4,5,1
10,6,4,5,2
11,6,4,5,3
3,6,5
1,6,5,1
1,6,5,1,3
3,6,5,1,4
2,6,5,2
3,6,5,2,1
4,6,5,2,3
3,6,5,2,4
2,6,5,3
3,6,5,3,1
6,6,5,3,2
7,6,5,3,4
3,6,5,4
10,6,5,4,1
2,6,5,4,2
8,6,5,4,3
Candidate 1,Cardi DeMonaco Jr.,None
Candidate 2,Rob Baker,None
Candidate 3,Michael Jones,None
Candidate 4,Sylvia L. Moore,None
Candidate 5,Tonia Gladney,None
Candidate 6,Shenita Lloyd,None
Unknown Ward
