4,2
165,1
160,1,2
21,1,2,3
194,1,2,3,4
19,1,2,4
164,1,2,4,3
41,1,3
12,1,3,2
65,1,3,2,4
11,1,3,4
42,1,3,4,2
40,1,4
7,1,4,2
64,1,4,2,3
8,1,4,3
48,1,4,3,2
280,2
176,2,1
34,2,1,3
234,2,1,3,4
22,2,1,4
200,2,1,4,3
77,2,3
10,2,3,1
108,2,3,1,4
11,2,3,4
75,2,3,4,1
242,2,4
25,2,4,1
165,2,4,1,3
32,2,4,3
165,2,4,3,1
87,3
40,3,1
4,3,1,2
67,3,1,2,4
3,3,1,4
25,3,1,4,2
27,3,2
10,3,2,1
35,3,2,1,4
7,3,2,4
50,3,2,4,1
24,3,4
5,3,4,1
39,3,4,1,2
6,3,4,2
36,3,4,2,1
307,4
39,4,1
17,4,1,2
68,4,1,2,3
5,4,1,3
35,4,1,3,2
414,4,2
25,4,2,1
198,4,2,1,3
32,4,2,3
240,4,2,3,1
52,4,3
5,4,3,1
76,4,3,1,2
9,4,3,2
89,4,3,2,1
Candidate 1,Mary Hall-Rayford,None
Candidate 2,Sarah A. Lucido,None
Candidate 3,Larry Edwards,None
Candidate 4,Harvey Curley,None
Unknown Ward
