26,3,
2,1,2,3,7,8,9,10,11,15,16,17,12,13,14,18,19,20,21,22,23,24,25,26,4,5,6,
1,1,2,3,7,8,9,10,11,15,16,17,18,19,20,
1,1,2,3,7,8,9,10,11,15,16,17,18,19,20,4,5,6,12,13,14,21,22,23,24,25,26,
1,1,2,3,7,8,9,10,11,15,16,17,18,19,20,21,22,23,24,25,26,4,5,6,12,13,14,
1,1,2,3,7,8,9,10,11,15,16,17,18,19,20,21,22,23,24,25,26,12,13,14,4,5,6,
2,1,2,3,7,8,9,10,11,15,16,17,21,22,23,24,25,26,
3,1,2,3,7,8,9,10,11,15,16,17,21,22,23,24,25,26,4,5,6,12,13,14,18,19,20,
2,1,2,3,7,8,9,10,11,15,16,17,21,22,23,24,25,26,12,13,14,4,5,6,18,19,20,
1,1,2,3,7,8,9,10,11,15,16,17,21,22,23,24,25,26,12,13,14,18,19,20,4,5,6,
2,1,2,3,7,8,9,10,11,15,16,17,21,22,23,24,25,26,18,19,20,12,13,14,4,5,6,
1,1,2,3,7,8,9,10,11,15,16,17,24,25,26,21,22,23,18,19,20,12,13,14,4,5,6,
2,1,2,3,7,8,9,10,11,18,19,20,
1,1,2,3,7,8,9,10,11,18,19,20,4,5,6,15,16,17,21,22,23,24,25,26,12,13,14,
1,1,2,3,7,8,9,10,11,18,19,20,15,16,17,21,22,23,24,25,26,12,13,14,4,5,6,
1,1,2,3,7,8,9,10,11,18,19,20,24,25,26,21,22,23,15,16,17,4,5,6,12,13,14,
3,1,2,3,7,8,9,10,11,21,22,23,
1,1,2,3,7,8,9,10,11,21,22,23,15,16,17,
1,1,2,3,7,8,9,10,11,21,22,23,15,16,17,18,19,20,24,25,26,12,13,14,4,5,6,
1,1,2,3,7,8,9,10,11,21,22,23,18,19,20,15,16,17,12,13,14,4,5,6,24,25,26,
2,1,2,3,7,8,9,10,11,21,22,23,24,25,26,
2,1,2,3,7,8,9,10,11,21,22,23,24,25,26,15,16,17,4,5,6,18,19,20,12,13,14,
1,1,2,3,7,8,9,10,11,21,22,23,24,25,26,15,16,17,18,19,20,4,5,6,12,13,14,
2,1,2,3,7,8,9,10,11,24,25,26,18,19,20,12,13,14,4,5,6,15,16,17,21,22,23,
1,1,2,3,7,8,9,10,11,24,25,26,21,22,23,15,16,17,4,5,6,18,19,20,12,13,14,
1,1,2,3,7,10,14,
23,1,2,3,12,13,14,
2,1,2,3,12,13,14,4,5,6,
1,1,2,3,12,13,14,4,5,6,7,8,9,10,11,15,16,17,21,22,23,24,25,26,18,19,20,
1,1,2,3,12,13,14,4,5,6,15,16,17,
1,1,2,3,12,13,14,4,5,6,15,16,17,7,8,9,10,11,21,22,23,18,19,20,24,25,26,
1,1,2,3,12,13,14,4,5,6,18,19,20,15,16,17,21,22,23,24,25,26,7,8,9,10,11,
