36,5,
1,1,2,3,4,5,6,7,8,9,10,21,22,23,24,25,16,17,18,19,20,26,27,28,29,30,31,32,33,34,35,
55,1,2,3,4,5,6,7,8,9,10,21,22,23,24,25,16,17,18,19,20,26,27,28,29,30,31,32,33,34,35,11,12,13,14,15,
6,1,2,3,4,5,6,7,8,9,10,21,22,23,24,25,16,17,18,19,20,31,32,33,34,35,26,27,28,29,30,11,12,13,14,15,
1,1,2,3,4,5,6,7,8,9,10,21,22,23,24,25,26,27,28,29,30,
1,1,2,3,4,5,6,7,8,9,10,21,22,23,24,25,26,27,28,29,30,11,12,13,14,15,
3,1,2,3,4,5,6,7,8,9,10,21,22,23,24,25,26,27,28,29,30,11,12,13,14,15,16,17,18,19,20,31,32,33,34,35,
1,1,2,3,4,5,6,7,8,9,10,21,22,23,24,25,26,27,28,29,30,16,17,18,19,20,11,12,13,14,15,
4,1,2,3,4,5,6,7,8,9,10,21,22,23,24,25,26,27,28,29,30,16,17,18,19,20,11,12,13,14,15,31,32,33,34,35,
2,1,2,3,4,5,6,7,8,9,10,21,22,23,24,25,26,27,28,29,30,16,17,18,19,20,31,32,33,34,35,11,12,13,14,15,
1,1,2,3,4,5,6,7,8,9,10,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,
1,1,2,3,4,5,6,7,8,9,10,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,11,12,13,14,15,
5,1,2,3,4,5,6,7,8,9,10,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,11,12,13,14,15,16,17,18,19,20,
32,1,2,3,4,5,6,7,8,9,10,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,16,17,18,19,20,11,12,13,14,15,
4,1,2,3,4,5,6,7,8,9,10,21,22,23,24,25,31,32,33,34,35,
3,1,2,3,4,5,6,7,8,9,10,21,22,23,24,25,31,32,33,34,35,11,12,13,14,15,16,17,18,19,20,26,27,28,29,30,
1,1,2,3,4,5,6,7,8,9,10,21,22,23,24,25,31,32,33,34,35,11,12,13,14,15,26,27,28,29,30,16,17,18,19,20,
1,1,2,3,4,5,6,7,8,9,10,21,22,23,24,25,31,32,33,34,35,16,17,18,19,20,11,12,13,14,15,26,27,28,29,30,
3,1,2,3,4,5,6,7,8,9,10,21,22,23,24,25,31,32,33,34,35,16,17,18,19,20,26,27,28,29,30,11,12,13,14,15,
19,1,2,3,4,5,6,7,8,9,10,21,22,23,24,25,31,32,33,34,35,26,27,28,29,30,16,17,18,19,20,11,12,13,14,15,
