5,2,
1007,1,
639,1,2,
2,1,2,3,
82,1,2,3,4,5,
8,1,2,3,5,4,
12,1,2,4,3,5,
8,1,2,4,5,3,
2,1,2,5,
12,1,2,5,3,4,
10,1,2,5,4,3,
32,1,3,
2,1,3,2,4,
22,1,3,2,4,5,
1,1,3,2,5,4,
2,1,3,4,
6,1,3,4,2,5,
5,1,3,4,5,
12,1,3,4,5,2,
5,1,3,5,
3,1,3,5,2,4,
1,1,3,5,4,
10,1,3,5,4,2,
36,1,4,
1,1,4,2,
10,1,4,2,3,5,
1,1,4,2,5,3,
7,1,4,3,2,5,
9,1,4,3,5,2,
2,1,4,5,
1,1,4,5,2,3,
14,1,4,5,3,2,
81,1,5,
3,1,5,2,
17,1,5,2,3,4,
7,1,5,2,4,3,
3,1,5,3,
7,1,5,3,2,4,
1,1,5,3,4,
15,1,5,3,4,2,
1,1,5,4,
7,1,5,4,2,3,
2,1,5,4,3,
20,1,5,4,3,2,
177,2,
38,2,1,
8,2,1,3,4,5,
2,2,1,3,5,4,
1,2,1,4,
1,2,1,4,3,
1,2,1,4,3,5,
4,2,1,4,5,3,
1,2,1,5,3,4,
4,2,3,
1,2,3,1,5,4,
2,2,3,4,1,5,
4,2,3,4,5,1,
1,2,3,5,1,4,
1,2,3,5,4,
1,2,3,5,4,1,
4,2,4,
2,2,4,1,5,3,
3,2,4,3,1,5,
1,2,4,3,5,
4,2,4,3,5,1,
1,2,4,5,1,3,
1,2,4,5,3,
3,2,4,5,3,1,
7,2,5,
3,2,5,1,3,4,
1,2,5,3,
1,2,5,3,1,4,
1,2,5,3,4,1,
1,2,5,4,
1,2,5,4,1,3,
2,2,5,4,3,1,
334,3,
19,3,1,
1,3,1,2,
5,3,1,2,4,5,
1,3,1,2,5,4,
1,3,1,4,
4,3,1,4,2,5,
6,3,1,4,5,2,
5,3,1,5,2,4,
3,3,1,5,4,2,
5,3,2,
7,3,2,1,4,5,
1,3,2,1,5,4,
2,3,2,4,1,5,
2,3,2,4,5,1,
5,3,2,5,4,1,
43,3,4,
6,3,4,1,2,5,
5,3,4,1,5,2,
1,3,4,2,
2,3,4,2,1,5,
2,3,4,2,5,1,
48,3,4,5,
1,3,4,5,1,
29,3,4,5,1,2,
14,3,4,5,2,1,
55,3,5,
1,3,5,1,
6,3,5,1,2,4,
2,3,5,1,4,2,
3,3,5,2,1,4,
1,3,5,2,4,1,
42,3,5,4,
17,3,5,4,1,2,
12,3,5,4,2,1,
391,4,
11,4,1,
2,4,1,2,3,5,
3,4,1,2,5,3,
3,4,1,3,2,5,
6,4,1,3,5,2,
2,4,1,5,
1,4,1,5,2,3,
3,4,1,5,3,2,
5,4,2,
3,4,2,1,3,5,
1,4,2,1,5,3,
1,4,2,3,1,5,
1,4,2,3,5,1,
1,4,2,5,3,1,
39,4,3,
1,4,3,1,
5,4,3,1,2,5,
2,4,3,1,5,2,
6,4,3,2,1,5,
5,4,3,2,5,1,
44,4,3,5,
19,4,3,5,1,2,
8,4,3,5,2,1,
35,4,5,
1,4,5,1,
4,4,5,1,2,3,
5,4,5,1,3,2,
3,4,5,2,1,3,
2,4,5,2,3,1,
48,4,5,3,
18,4,5,3,1,2,
14,4,5,3,2,1,
1148,5,
60,5,1,
20,5,1,2,3,4,
3,5,1,2,4,3,
4,5,1,3,
6,5,1,3,2,4,
18,5,1,3,4,2,
8,5,1,4,2,3,
10,5,1,4,3,2,
8,5,2,
1,5,2,1,
7,5,2,1,3,4,
3,5,2,3,4,1,
2,5,2,4,1,3,
3,5,2,4,3,1,
115,5,3,
2,5,3,1,
8,5,3,1,2,4,
1,5,3,1,4,
12,5,3,1,4,2,
3,5,3,2,1,4,
1,5,3,2,4,1,
114,5,3,4,
34,5,3,4,1,2,
1,5,3,4,2,
30,5,3,4,2,1,
64,5,4,
3,5,4,1,
9,5,4,1,2,3,
10,5,4,1,3,2,
2,5,4,2,
2,5,4,2,1,3,
1,5,4,2,3,1,
94,5,4,3,
26,5,4,3,1,2,
42,5,4,3,2,1,
Candidate 1,MOHR Greg,A,
Candidate 2,STIFF Shayne,A,
Candidate 3,PORTELLI Manny,UNGROUPED CANDIDATES,
Candidate 4,PRIOR Douglas,UNGROUPED CANDIDATES,
Candidate 5,PARKER Alfred (Kevin),UNGROUPED CANDIDATES,
NSW Local Government 2017 Dubbo Regional - Dubbo South Ward,
