5,2,
208,1,
9,1,2,
20,1,2,3,4,5,
4,1,2,4,3,5,
2,1,2,4,5,3,
5,1,2,5,3,4,
10,1,3,
2,1,3,2,
1,1,3,2,4,
11,1,3,2,4,5,
1,1,3,2,5,4,
1,1,3,4,
2,1,3,4,2,5,
7,1,3,4,5,2,
1,1,3,5,
3,1,3,5,2,4,
7,1,3,5,4,2,
7,1,4,
5,1,4,2,3,5,
1,1,4,2,5,3,
5,1,4,3,2,5,
2,1,4,3,5,2,
1,1,4,5,2,
7,1,4,5,2,3,
3,1,4,5,3,2,
7,1,5,
2,1,5,2,3,4,
2,1,5,2,4,3,
1,1,5,3,
6,1,5,3,2,4,
4,1,5,3,4,2,
96,1,5,4,2,3,
6,1,5,4,3,2,
195,2,
6,2,1,
6,2,1,3,4,5,
2,2,1,3,5,4,
4,2,1,4,3,5,
2,2,1,4,5,3,
8,2,3,
1,2,3,1,
6,2,3,1,4,5,
1,2,3,1,5,4,
1,2,3,4,
4,2,3,4,1,5,
4,2,3,4,5,1,
1,2,3,5,1,4,
1,2,3,5,4,1,
17,2,4,
2,2,4,1,
4,2,4,1,3,5,
2,2,4,1,5,3,
1,2,4,3,
11,2,4,3,1,5,
4,2,4,3,5,1,
1,2,4,5,
3,2,4,5,1,3,
7,2,4,5,3,1,
7,2,5,
3,2,5,1,3,4,
2,2,5,1,4,3,
2,2,5,3,4,1,
3,2,5,4,1,3,
2,2,5,4,3,1,
267,3,
17,3,1,
10,3,1,2,4,5,
3,3,1,2,5,4,
1,3,1,4,
6,3,1,4,2,5,
9,3,1,4,5,2,
5,3,1,5,2,4,
5,3,1,5,4,2,
24,3,2,
2,3,2,1,
11,3,2,1,4,5,
2,3,2,1,5,4,
1,3,2,4,
1,3,2,4,1,
5,3,2,4,1,5,
6,3,2,4,5,1,
1,3,2,5,1,4,
5,3,2,5,4,1,
23,3,4,
1,3,4,1,
11,3,4,1,2,5,
4,3,4,1,5,2,
1,3,4,2,1,
10,3,4,2,1,5,
5,3,4,2,5,1,
13,3,4,5,1,2,
18,3,4,5,2,1,
6,3,5,
8,3,5,1,2,4,
4,3,5,1,4,2,
1,3,5,2,
3,3,5,2,4,1,
2,3,5,4,1,2,
7,3,5,4,2,1,
175,4,
4,4,1,
5,4,1,2,3,5,
3,4,1,2,5,3,
3,4,1,3,5,2,
2,4,1,5,
3,4,1,5,2,3,
1,4,1,5,3,2,
18,4,2,
7,4,2,1,3,5,
1,4,2,1,5,
5,4,2,1,5,3,
14,4,2,3,1,5,
10,4,2,3,5,1,
2,4,2,5,
5,4,2,5,1,3,
6,4,2,5,3,1,
8,4,3,
1,4,3,1,
8,4,3,1,2,5,
1,4,3,1,5,2,
9,4,3,2,1,5,
6,4,3,2,5,1,
1,4,3,5,1,2,
4,4,3,5,2,1,
23,4,5,
1,4,5,1,
6,4,5,1,2,3,
8,4,5,1,3,2,
11,4,5,2,1,3,
15,4,5,2,3,1,
4,4,5,3,1,2,
14,4,5,3,2,1,
198,5,
9,5,1,
7,5,1,2,3,4,
4,5,1,2,4,3,
1,5,1,3,
5,5,1,3,2,4,
3,5,1,3,4,2,
1,5,1,4,
68,5,1,4,2,3,
4,5,1,4,3,2,
8,5,2,
7,5,2,1,3,4,
1,5,2,1,4,3,
2,5,2,3,1,4,
3,5,2,3,4,1,
3,5,2,4,
6,5,2,4,1,3,
3,5,2,4,3,1,
7,5,3,
6,5,3,1,2,4,
1,5,3,2,1,
3,5,3,2,1,4,
1,5,3,2,4,1,
4,5,3,4,1,2,
5,5,3,4,2,1,
14,5,4,
1,5,4,1,
14,5,4,1,2,3,
3,5,4,1,3,2,
1,5,4,2,
8,5,4,2,1,3,
8,5,4,2,3,1,
2,5,4,3,1,2,
18,5,4,3,2,1,
Candidate 1,GREEN Alan,None,
Candidate 2,CLARK Jessica,None,
Candidate 3,LOW Stephen,None,
Candidate 4,DRINAN Karen,None,
Candidate 5,CAMPBELL James,None,
NSW Local Government 2024 Dungog - B Ward,
