5,1,
28752,1,
1173,1,2,
49,1,2,3,
19,1,2,3,4,
668,1,2,3,4,5,
1,1,2,3,5,
59,1,2,3,5,4,
8,1,2,4,
7,1,2,4,3,
175,1,2,4,3,5,
1,1,2,4,5,
33,1,2,4,5,3,
86,1,2,5,
2,1,2,5,3,
224,1,2,5,3,4,
2,1,2,5,4,
116,1,2,5,4,3,
902,1,3,
30,1,3,2,
2,1,3,2,4,
222,1,3,2,4,5,
45,1,3,2,5,4,
136,1,3,4,
12,1,3,4,2,
883,1,3,4,2,5,
9,1,3,4,5,
361,1,3,4,5,2,
29,1,3,5,
3,1,3,5,2,
31,1,3,5,2,4,
1,1,3,5,4,
59,1,3,5,4,2,
237,1,4,
4,1,4,2,
40,1,4,2,3,5,
1,1,4,2,5,
12,1,4,2,5,3,
44,1,4,3,
1,1,4,3,2,
278,1,4,3,2,5,
1,1,4,3,5,
99,1,4,3,5,2,
9,1,4,5,
1,1,4,5,2,
8,1,4,5,2,3,
21,1,4,5,3,2,
728,1,5,
76,1,5,2,
2,1,5,2,3,
203,1,5,2,3,4,
1,1,5,2,4,
49,1,5,2,4,3,
18,1,5,3,
35,1,5,3,2,4,
4,1,5,3,4,
116,1,5,3,4,2,
13,1,5,4,
8,1,5,4,2,3,
1,1,5,4,3,
139,1,5,4,3,2,
10490,2,
660,2,1,
22,2,1,3,
9,2,1,3,4,
328,2,1,3,4,5,
2,2,1,3,5,
58,2,1,3,5,4,
5,2,1,4,
2,2,1,4,3,
63,2,1,4,3,5,
1,2,1,4,5,
27,2,1,4,5,3,
59,2,1,5,
154,2,1,5,3,4,
3,2,1,5,4,
135,2,1,5,4,3,
372,2,3,
18,2,3,1,
4,2,3,1,4,
104,2,3,1,4,5,
38,2,3,1,5,4,
47,2,3,4,
3,2,3,4,1,
184,2,3,4,1,5,
14,2,3,4,5,
384,2,3,4,5,1,
35,2,3,5,
1,2,3,5,1,
46,2,3,5,1,4,
5,2,3,5,4,
174,2,3,5,4,1,
122,2,4,
2,2,4,1,
17,2,4,1,3,5,
4,2,4,1,5,3,
22,2,4,3,
1,2,4,3,1,
49,2,4,3,1,5,
3,2,4,3,5,
84,2,4,3,5,1,
4,2,4,5,
1,2,4,5,1,
21,2,4,5,1,3,
3,2,4,5,3,
43,2,4,5,3,1,
1278,2,5,
100,2,5,1,
1,2,5,1,3,
264,2,5,1,3,4,
55,2,5,1,4,3,
55,2,5,3,
82,2,5,3,1,4,
21,2,5,3,4,
645,2,5,3,4,1,
21,2,5,4,
2,2,5,4,1,
46,2,5,4,1,3,
4,2,5,4,3,
502,2,5,4,3,1,
9721,3,
654,3,1,
38,3,1,2,
2,3,1,2,4,
225,3,1,2,4,5,
5,3,1,2,5,
58,3,1,2,5,4,
40,3,1,4,
4,3,1,4,2,
403,3,1,4,2,5,
1,3,1,4,5,
104,3,1,4,5,2,
18,3,1,5,
43,3,1,5,2,4,
1,3,1,5,4,
62,3,1,5,4,2,
322,3,2,
36,3,2,1,
3,3,2,1,4,
167,3,2,1,4,5,
1,3,2,1,5,
60,3,2,1,5,4,
9,3,2,4,
3,3,2,4,1,
100,3,2,4,1,5,
1,3,2,4,5,
141,3,2,4,5,1,
57,3,2,5,
1,3,2,5,1,
49,3,2,5,1,4,
2,3,2,5,4,
160,3,2,5,4,1,
545,3,4,
43,3,4,1,
6,3,4,1,2,
318,3,4,1,2,5,
1,3,4,1,5,
72,3,4,1,5,2,
27,3,4,2,
3,3,4,2,1,
138,3,4,2,1,5,
4,3,4,2,5,
113,3,4,2,5,1,
39,3,4,5,
2,3,4,5,1,
100,3,4,5,1,2,
4,3,4,5,2,
246,3,4,5,2,1,
339,3,5,
19,3,5,1,
1,3,5,1,2,
39,3,5,1,2,4,
1,3,5,1,4,
19,3,5,1,4,2,
66,3,5,2,
4,3,5,2,1,
86,3,5,2,1,4,
3,3,5,2,4,
189,3,5,2,4,1,
18,3,5,4,
2,3,5,4,1,
52,3,5,4,1,2,
4,3,5,4,2,
181,3,5,4,2,1,
1304,4,
67,4,1,
5,4,1,2,
10,4,1,2,3,5,
2,4,1,2,5,
9,4,1,2,5,3,
1,4,1,3,
37,4,1,3,2,5,
1,4,1,3,5,
11,4,1,3,5,2,
1,4,1,5,
2,4,1,5,2,3,
1,4,1,5,3,2,
36,4,2,
3,4,2,1,
8,4,2,1,3,5,
2,4,2,1,5,
5,4,2,1,5,3,
2,4,2,3,
2,4,2,3,1,
17,4,2,3,1,5,
18,4,2,3,5,1,
3,4,2,5,
1,4,2,5,1,
3,4,2,5,1,3,
11,4,2,5,3,1,
218,4,3,
21,4,3,1,
2,4,3,1,2,
110,4,3,1,2,5,
2,4,3,1,5,
28,4,3,1,5,2,
82,4,3,2,
1,4,3,2,1,
83,4,3,2,1,5,
52,4,3,2,5,1,
9,4,3,5,
36,4,3,5,1,2,
2,4,3,5,2,
79,4,3,5,2,1,
45,4,5,
1,4,5,1,2,
1,4,5,1,2,3,
1,4,5,1,3,2,
7,4,5,2,
3,4,5,2,1,3,
23,4,5,2,3,1,
5,4,5,3,
15,4,5,3,1,2,
1,4,5,3,2,
32,4,5,3,2,1,
9256,5,
373,5,1,
