3,1,
3729,1,
100,1,2,
747,1,2,3,
44,1,3,
334,1,3,2,
618,2,
27,2,1,
153,2,1,3,
38,2,3,
183,2,3,1,
1290,3,
48,3,1,
295,3,1,2,
92,3,2,
676,3,2,1,
Candidate 1,ALLAN Steve,None,
Candidate 2,WOODWARD Andrew,None,
Candidate 3,KING Dominic,None,
NSW Local Government 2021 Bellingen Mayoral,
