3,1,
1521,1,
42,1,2,
385,1,2,3,
90,1,3,
495,1,3,2,
3701,2,
106,2,1,
721,2,1,3,
185,2,3,
1155,2,3,1,
1357,3,
64,3,1,
440,3,1,2,
69,3,2,
481,3,2,1,
Candidate 1,TURLEY Darriea,None,
Candidate 2,KENNEDY Tom,None,
Candidate 3,GALLAGHER Dave,None,
NSW Local Government 2021 City of Broken Hill Mayoral,
