3,1,
8127,1,
659,1,2,
1161,1,2,3,
313,1,3,
1131,1,3,2,
858,2,
171,2,1,
212,2,1,3,
73,2,3,
172,2,3,1,
3252,3,
172,3,1,
441,3,1,2,
127,3,2,
477,3,2,1,
Candidate 1,FAKER John,None,
Candidate 2,LU Guitang,None,
Candidate 3,HULL David,None,
NSW Local Government 2024 Burwood Mayoral,
