3,1,
3110,1,
167,1,2,
601,1,2,3,
1369,1,3,
2341,1,3,2,
17877,2,
242,2,1,
1087,2,1,3,
644,2,3,
2587,2,3,1,
9607,3,
829,3,1,
5320,3,1,2,
596,3,2,
2312,3,2,1,
Candidate 1,JAGO Charles,None,
Candidate 2,MEGNA Michael,None,
Candidate 3,FERGUSON Andrew,None,
NSW Local Government 2024 Canada Bay Mayoral,
