3,2,
62,1,
28,1,2,
81,1,2,3,
20,1,3,
70,1,3,2,
45,2,
18,2,1,
58,2,1,3,
42,2,3,
74,2,3,1,
51,3,
17,3,1,
49,3,1,2,
46,3,2,
63,3,2,1,
Candidate 1,BRADY Dennis,UG,
Candidate 2,SCOTT Graham,UG,
Candidate 3,JONES Kim,UG,
NSW Local Government 2012 Lachlan Shire Council - C Ward,
