3,2,
55,1,
17,1,2,
34,1,2,3,
18,1,3,
50,1,3,2,
113,2,
9,2,1,
44,2,1,3,
26,2,3,
67,2,3,1,
84,3,
10,3,1,
46,3,1,2,
19,3,2,
73,3,2,1,
Candidate 1,MOYLAN Joshua,None,
Candidate 2,PETTY Peter,None,
Candidate 3,MURPHY Peter,None,
NSW Local Government 2024 Tenterfield - Ward C,
