3,2,
86,1,
13,1,2,
79,1,2,3,
42,1,3,
136,1,3,2,
15,2,
2,2,1,
19,2,1,3,
4,2,3,
32,2,3,1,
65,3,
23,3,1,
90,3,1,2,
6,3,2,
97,3,2,1,
Candidate 1,PETRIE Bronwyn,None,
Candidate 2,LAVENDER Clifford,None,
Candidate 3,MACNISH John,None,
NSW Local Government 2016 Tenterfield Shire Council - Ward B,
