3,2,
14,1,
15,1,2,
24,1,2,3,
29,1,3,
42,1,3,2,
60,2,
24,2,1,
26,2,1,3,
43,2,3,
24,2,3,1,
31,3,
48,3,1,
36,3,1,2,
31,3,2,
27,3,2,1,
Candidate 1,BLOMFIELD Rob,None,
Candidate 2,WELLINGS Rachael,None,
Candidate 3,BLOMFIELD Peter,None,
NSW Local Government 2016 Walcha Council - A Ward,
