3,2,
74,1,
25,1,2,
78,1,2,3,
49,1,3,
80,1,3,2,
64,2,
21,2,1,
70,2,1,3,
15,2,3,
52,2,3,1,
52,3,
23,3,1,
74,3,1,2,
18,3,2,
71,3,2,1,
Candidate 1,PETRIE Michael,None,
Candidate 2,BANCROFT-STUART Roxanne,None,
Candidate 3,SAUER Greg,None,
NSW Local Government 2016 Tenterfield Shire Council - Ward E,
