3,1,
9828,1,
1142,1,2,
2631,1,2,3,
3269,1,3,
4430,1,3,2,
55931,2,
2070,2,1,
4549,2,1,3,
2607,2,3,
6363,2,3,1,
10940,3,
3519,3,1,
3458,3,1,2,
1443,3,2,
2604,3,2,1,
Candidate 1,KASBY Mila,None,
Candidate 2,BYRNE Michelle,None,
Candidate 3,SELVARAJ Immanuel,None,
NSW Local Government 2024 The Hills Shire Mayoral,
