3,2,
355,1,
28,1,2,
166,1,2,3,
37,1,3,
168,1,3,2,
168,2,
22,2,1,
94,2,1,3,
32,2,3,
91,2,3,1,
423,3,
40,3,1,
184,3,1,2,
117,3,2,
182,3,2,1,
Candidate 1,CLARK Jessica,None,
Candidate 2,GREEN Alan,None,
Candidate 3,LOW Stephen,None,
NSW Local Government 2021 Dungog - B Ward,
