3,1,
9088,1,
373,1,2,
1704,1,2,3,
431,1,3,
1707,1,3,2,
6059,2,
354,2,1,
1019,2,1,3,
876,2,3,
1428,2,3,1,
9136,3,
447,3,1,
1894,3,1,2,
1143,3,2,
2283,3,2,1,
Candidate 1,ROZOS Angelo,None,
Candidate 2,CAMPBELL Craig,None,
Candidate 3,TAYLOR Tanya,None,
NSW Local Government 2021 City of Willoughby Mayoral,
