3,1,
770,1,
65,1,2,
357,1,2,3,
23,1,3,
195,1,3,2,
5024,2,
246,2,1,
1407,2,1,3,
113,2,3,
629,2,3,1,
1024,3,
73,3,1,
298,3,1,2,
47,3,2,
265,3,2,1,
Candidate 1,GALLAGHER Dave,None,
Candidate 2,KENNEDY Tom,None,
Candidate 3,TURLEY Darriea,None,
NSW Local Government 2024 City of Broken Hill Mayoral,
