3,2,
178,1,
32,1,2,
90,1,2,3,
36,1,3,
72,1,3,2,
47,2,
16,2,1,
34,2,1,3,
13,2,3,
26,2,3,1,
49,3,
36,3,1,
40,3,1,2,
12,3,2,
27,3,2,1,
Candidate 1,BONNER Tim,None,
Candidate 2,RAYMOND Ben,None,
Candidate 3,PURCELL Gregory,None,
NSW Local Government 2024 Tenterfield - Ward A,
