3,2,
72,1,
23,1,2,
109,1,2,3,
12,1,3,
59,1,3,2,
82,2,
42,2,1,
102,2,1,3,
9,2,3,
43,2,3,1,
89,3,
12,3,1,
65,3,1,2,
4,3,2,
29,3,2,1,
Candidate 1,VERRI Gary,None,
Candidate 2,PETTY Peter,None,
Candidate 3,WEST Lawrie,None,
NSW Local Government 2016 Tenterfield Shire Council - Ward A,
