3,2,
15,1,
6,1,2,
31,1,2,3,
3,1,3,
8,1,3,2,
66,2,
29,2,1,
89,2,1,3,
75,2,3,
112,2,3,1,
9,3,
4,3,1,
6,3,1,2,
16,3,2,
19,3,2,1,
Candidate 1,LYON Clint,None,
Candidate 2,NOAKES Eric,None,
Candidate 3,POINTING Anne-Marie,None,
NSW Local Government 2021 Walcha - B Ward,
