3,2,
62,1,
21,1,2,
69,1,2,3,
14,1,3,
74,1,3,2,
47,2,
12,2,1,
42,2,1,3,
22,2,3,
106,2,3,1,
59,3,
16,3,1,
69,3,1,2,
15,3,2,
124,3,2,1,
Candidate 1,NELSON Brian,UG,
Candidate 2,FISHPOOL Terry,UG,
Candidate 3,MEDCALF John,UG,
NSW Local Government 2012 Lachlan Shire Council - A Ward,
