3,2,
38,1,
3,1,2,
44,1,2,3,
5,1,3,
38,1,3,2,
70,2,
3,2,1,
47,2,1,3,
14,2,3,
69,2,3,1,
44,3,
7,3,1,
46,3,1,2,
10,3,2,
39,3,2,1,
Candidate 1,CROWE Ann,UG,
Candidate 2,LOCKHART Lois,UG,
Candidate 3,DOUGLAS Andrew,UG,
NSW Local Government 2012 The Council of the Shire of Wakool - A Ward,
