3,1,
20821,1,
679,1,2,
2224,1,2,3,
1273,1,3,
3538,1,3,2,
10873,2,
530,2,1,
1910,2,1,3,
198,2,3,
900,2,3,1,
2964,3,
340,3,1,
927,3,1,2,
117,3,2,
409,3,2,1,
Candidate 1,HOMER Chris,None,
Candidate 2,PETRESKI Rob,None,
Candidate 3,RANKIN Paul,None,
NSW Local Government 2024 City of Shellharbour Mayoral,
