3,2,
23,1,
38,1,2,
31,1,2,3,
44,1,3,
31,1,3,2,
17,2,
7,2,1,
25,2,1,3,
41,2,3,
43,2,3,1,
22,3,
47,3,1,
39,3,1,2,
32,3,2,
30,3,2,1,
Candidate 1,LYON Clint,None,
Candidate 2,SPRY Barry,None,
Candidate 3,NOAKES Eric,None,
NSW Local Government 2016 Walcha Council - B Ward,
