3,2,
56,1,
50,1,2,
146,1,2,3,
17,1,3,
64,1,3,2,
30,2,
21,2,1,
48,2,1,3,
9,2,3,
39,2,3,1,
89,3,
18,3,1,
74,3,1,2,
14,3,2,
60,3,2,1,
Candidate 1,MANWARING Des,UG,
Candidate 2,HARRIS Peter,UG,
Candidate 3,SAUNDERS Les,UG,
NSW Local Government 2012 Lachlan Shire Council - B Ward,
