3,2,
89,1,
17,1,2,
57,1,2,3,
16,1,3,
90,1,3,2,
10,2,
3,2,1,
13,2,1,3,
5,2,3,
22,2,3,1,
67,3,
6,3,1,
74,3,1,2,
5,3,2,
40,3,2,1,
Candidate 1,WIGHTON Juanita,None,
Candidate 2,MACARTNEY Thomas,None,
Candidate 3,HARRIS Peter,None,
NSW Local Government 2024 Lachlan - C Ward,
