3,1,
1798,1,
69,1,2,
244,1,2,3,
121,1,3,
591,1,3,2,
269,2,
23,2,1,
70,2,1,3,
22,2,3,
81,2,3,1,
243,3,
34,3,1,
114,3,1,2,
23,3,2,
79,3,2,1,
Candidate 1,BELL Robert,None,
Candidate 2,LEDGER Natasha,None,
Candidate 3,STRUTT Isabel,None,
NSW Local Government 2021 Uralla Mayoral,
