3,2,
153,1,
14,1,2,
78,1,2,3,
54,1,3,
223,1,3,2,
46,2,
6,2,1,
27,2,1,3,
7,2,3,
40,2,3,1,
44,3,
12,3,1,
50,3,1,2,
2,3,2,
16,3,2,1,
Candidate 1,SAUER Greg,None,
Candidate 2,SING Matthew,None,
Candidate 3,PETERS Thomas,None,
NSW Local Government 2024 Tenterfield - Ward E,
