3,2,
398,1,
39,1,2,
204,1,2,3,
143,1,3,
181,1,3,2,
341,2,
23,2,1,
121,2,1,3,
36,2,3,
92,2,3,1,
178,3,
92,3,1,
92,3,1,2,
17,3,2,
84,3,2,1,
Candidate 1,RAYWARD Digby,None,
Candidate 2,BALE Bradley,None,
Candidate 3,MILLYNN Peter,None,
NSW Local Government 2021 Dungog - C Ward,
