3,1,
7542,1,
297,1,2,
1255,1,2,3,
676,1,3,
1860,1,3,2,
22687,2,
225,2,1,
1155,2,1,3,
1762,2,3,
4967,2,3,1,
16353,3,
474,3,1,
1737,3,1,2,
1119,3,2,
3965,3,2,1,
Candidate 1,GARTNER Kaye,None,
Candidate 2,WHITE Patricia,None,
Candidate 3,TRIBE Jemma,None,
NSW Local Government 2024 City of Shoalhaven Mayoral,
