3,2,
284,1,
53,1,2,
246,1,2,3,
27,1,3,
82,1,3,2,
358,2,
65,2,1,
133,2,1,3,
16,2,3,
45,2,3,1,
475,3,
31,3,1,
126,3,1,2,
32,3,2,
89,3,2,1,
Candidate 1,PATON Fred,None,
Candidate 2,BALE Bradley,None,
Candidate 3,CARRUTHERS Alexandria,None,
NSW Local Government 2024 Dungog - C Ward,
