3,2,
27,1,
14,1,2,
39,1,2,3,
8,1,3,
26,1,3,2,
33,2,
21,2,1,
42,2,1,3,
15,2,3,
25,2,3,1,
84,3,
10,3,1,
40,3,1,2,
23,3,2,
60,3,2,1,
Candidate 1,LUCHICH Michael,None,
Candidate 2,REILLY Aurora,None,
Candidate 3,FERRIER Kevin,None,
NSW Local Government 2021 Walcha - D Ward,
