3,2,
127,1,
25,1,2,
80,1,2,3,
11,1,3,
34,1,3,2,
109,2,
19,2,1,
76,2,1,3,
23,2,3,
86,2,3,1,
18,3,
3,3,1,
22,3,1,2,
4,3,2,
48,3,2,1,
Candidate 1,PETERS Thomas,None,
Candidate 2,MURRAY Brian,None,
Candidate 3,WALKER Robert,None,
NSW Local Government 2016 Tenterfield Shire Council - Ward C,
