3,2,
43,1,
14,1,2,
29,1,2,3,
73,1,3,
57,1,3,2,
104,2,
17,2,1,
67,2,1,3,
22,2,3,
52,2,3,1,
35,3,
80,3,1,
59,3,1,2,
10,3,2,
28,3,2,1,
Candidate 1,LEAHY Mary,UG,
Candidate 2,MURRAY Brian,UG,
Candidate 3,SOUTH Bob,UG,
NSW Local Government 2012 Tenterfield Shire Council - C Ward,
