3,1,
18417,1,
634,1,2,
2561,1,2,3,
368,1,3,
1451,1,3,2,
7237,2,
252,2,1,
871,2,1,3,
1732,2,3,
2254,2,3,1,
6549,3,
203,3,1,
686,3,1,2,
2727,3,2,
2307,3,2,1,
Candidate 1,ANDERSON Leah,None,
Candidate 2,WATSON Mark,None,
Candidate 3,LE MOTTEE Paul,None,
NSW Local Government 2024 Port Stephens Mayoral,
