3,1,
4055,1,
104,1,2,
638,1,2,3,
383,1,3,
1290,1,3,2,
1418,2,
62,2,1,
453,2,1,3,
225,2,3,
439,2,3,1,
2743,3,
240,3,1,
1120,3,1,2,
90,3,2,
986,3,2,1,
Candidate 1,MOORE Sue,None,
Candidate 2,WATSON Peree,None,
Candidate 3,THOMPSON Danny,None,
NSW Local Government 2024 Singleton Mayoral,
