8,2,
533,1,
4698,1,2,
1,1,2,3,
83,1,2,3,4,
1,1,2,3,4,5,
3,1,2,3,4,5,6,
114,1,2,3,4,5,6,7,8,
1,1,2,3,4,7,8,
30,1,2,3,4,7,8,5,6,
1,1,2,3,5,6,7,8,4,
1,1,2,4,3,
1,1,2,4,5,6,3,7,8,
1,1,2,4,8,3,5,7,6,
1,1,2,5,4,3,6,7,8,
61,1,2,5,6,
60,1,2,5,6,3,4,7,8,
1,1,2,5,6,3,4,8,7,
1,1,2,5,6,4,3,8,7,
1,1,2,5,6,7,8,
102,1,2,5,6,7,8,3,4,
1,1,2,5,6,7,8,4,3,
2,1,2,5,6,8,7,3,4,
1,1,2,5,7,
1,1,2,6,5,3,4,7,8,
2,1,2,6,5,4,3,7,8,
1,1,2,6,5,7,8,3,4,
2,1,2,6,5,8,7,3,4,
1,1,2,6,8,5,7,4,3,
1,1,2,6,8,7,5,
1,1,2,7,5,8,4,3,6,
1,1,2,7,6,8,5,3,4,
55,1,2,7,8,
1,1,2,7,8,3,4,
30,1,2,7,8,3,4,5,6,
61,1,2,7,8,5,6,3,4,
1,1,2,7,8,5,6,4,3,
1,1,2,7,8,6,5,4,3,
1,1,2,8,
2,1,2,8,7,3,4,5,6,
1,1,2,8,7,4,3,5,6,
1,1,2,8,7,6,5,4,3,
14,1,3,
1,1,3,2,4,
2,1,3,2,4,5,6,7,8,
1,1,3,2,4,5,7,6,8,
1,1,3,2,4,7,8,5,6,
1,1,3,2,8,
4,1,3,4,
2,1,3,4,2,
1,1,3,4,2,7,8,5,6,
1,1,3,4,2,8,7,6,5,
1,1,3,4,5,6,2,7,8,
1,1,3,4,6,8,2,5,7,
4,1,3,5,7,
1,1,3,5,7,6,4,2,8,
1,1,3,5,8,2,4,6,7,
1,1,3,6,
1,1,3,6,2,4,5,8,7,
1,1,3,7,
1,1,3,8,
8,1,4,
1,1,4,2,3,
1,1,4,3,7,8,2,5,6,
1,1,4,5,6,7,8,3,2,
1,1,4,6,2,5,3,7,8,
1,1,4,7,2,3,8,5,6,
16,1,5,
2,1,5,2,
1,1,5,2,6,7,8,3,4,
1,1,5,3,
2,1,5,3,7,
1,1,5,4,
3,1,5,6,
2,1,5,6,2,3,4,7,8,
1,1,5,6,2,3,7,4,8,
2,1,5,6,2,4,3,8,7,
3,1,5,6,2,7,8,3,4,
1,1,5,6,3,4,2,7,8,
1,1,5,6,7,3,2,4,8,
2,1,5,6,7,8,3,4,2,
1,1,5,8,
15,1,6,
2,1,6,2,3,4,5,7,8,
1,1,6,2,3,5,4,7,8,
2,1,6,2,5,
1,1,6,2,5,3,4,8,7,
1,1,6,2,5,7,8,3,4,
1,1,6,2,5,8,7,4,3,
1,1,6,5,2,
1,1,6,5,2,3,4,8,7,
1,1,6,5,2,7,8,3,4,
1,1,6,5,2,8,7,4,3,
1,1,6,5,3,4,2,7,8,
1,1,6,5,4,8,2,3,7,
1,1,6,5,8,2,7,4,3,
1,1,6,7,2,5,8,3,4,
1,1,6,8,2,3,4,5,7,
1,1,6,8,7,5,2,3,4,
13,1,7,
1,1,7,2,3,4,5,6,8,
1,1,7,2,8,
1,1,7,2,8,3,4,5,6,
1,1,7,2,8,5,6,3,4,
1,1,7,3,
1,1,7,4,3,5,6,2,8,
1,1,7,6,2,8,3,5,4,
2,1,7,8,
1,1,7,8,2,4,6,5,3,
3,1,7,8,2,5,6,3,4,
1,1,7,8,2,5,6,4,3,
1,1,7,8,3,2,4,5,6,
1,1,7,8,4,
1,1,7,8,4,5,2,6,3,
1,1,7,8,5,6,3,4,2,
1,1,7,8,6,5,2,4,3,
12,1,8,
1,1,8,2,5,6,7,3,4,
2,1,8,2,7,
1,1,8,2,7,5,6,3,4,
1,1,8,2,7,6,5,4,3,
2,1,8,5,
1,1,8,5,7,2,6,3,4,
1,1,8,6,4,7,5,3,2,
1,1,8,6,7,4,5,3,2,
2,1,8,7,
1,1,8,7,2,5,6,
1,1,8,7,2,5,6,3,4,
1,1,8,7,6,2,4,5,3,
20,2,
15,2,1,
1,2,1,4,3,8,7,5,6,
1,2,1,6,5,4,3,8,7,
2,2,1,6,5,8,7,4,3,
1,2,1,6,8,7,5,4,3,
1,2,3,4,1,5,6,7,8,
2,2,3,4,6,5,1,7,8,
1,2,3,5,7,
1,2,3,6,4,5,8,7,1,
2,2,4,
1,2,4,3,1,
1,2,4,6,7,
2,2,5,
3,2,6,
1,2,6,1,5,3,4,7,8,
1,2,6,3,4,7,8,5,1,
1,2,7,5,
1,2,8,
1,2,8,6,5,4,3,7,1,
87,3,
6,3,1,
1,3,1,2,4,6,5,7,8,
1,3,1,4,2,5,8,7,6,
1,3,1,4,7,8,5,6,2,
1,3,1,5,4,
1,3,1,5,7,
1,3,1,6,4,2,
1,3,1,7,4,2,5,6,8,
1,3,2,
2115,3,4,
2,3,4,1,
51,3,4,1,2,
48,3,4,1,2,5,6,7,8,
1,3,4,1,2,7,8,
23,3,4,1,2,7,8,5,6,
1,3,4,5,1,6,7,8,2,
406,3,4,5,6,
45,3,4,5,6,1,2,7,8,
1,3,4,5,6,1,7,2,8,
2,3,4,5,6,7,8,
75,3,4,5,6,7,8,1,2,
4,3,4,5,6,7,8,2,1,
43,3,4,7,8,
25,3,4,7,8,1,2,5,6,
1,3,4,7,8,5,6,1,
45,3,4,7,8,5,6,1,2,
1,3,4,7,8,5,6,2,1,
1,3,4,8,
1,3,4,8,5,6,7,2,1,
2,3,5,
1,3,5,4,6,8,2,7,1,
1,3,5,7,1,
3,3,6,
1,3,6,1,4,5,7,8,2,
1,3,6,8,1,4,5,7,2,
2,3,7,
1,3,7,1,8,5,2,4,6,
1,3,7,4,6,8,5,2,1,
3,3,8,
35,4,
2,4,1,
1,4,1,2,3,5,6,7,8,
1,4,2,
1,4,2,6,8,1,3,5,7,
1,4,2,7,1,
20,4,3,
1,4,3,2,1,
1,4,3,2,1,6,5,8,7,
1,4,3,6,5,1,2,7,8,
2,4,3,7,8,1,2,5,6,
1,4,3,8,7,5,6,2,1,
2,4,5,
2,4,6,
1,4,6,1,3,5,
1,4,6,1,5,3,
1,4,6,3,5,1,7,8,2,
1,4,8,
1,4,8,7,3,6,5,2,1,
23,5,
2,5,1,
1,5,1,3,7,
1,5,1,3,7,8,6,4,2,
1,5,1,4,3,2,6,8,7,
1,5,1,4,7,3,6,8,2,
1,5,1,6,2,3,4,7,8,
1,5,2,
1,5,2,6,1,4,3,8,7,
1,5,2,6,3,4,7,8,1,
