8,3,
3,1,
192,1,2,
13813,1,2,3,
4,1,2,3,4,
2,1,2,3,4,5,
2883,1,2,3,4,5,6,
36,1,2,3,4,5,6,7,8,
3,1,2,3,4,5,6,8,7,
2,1,2,3,4,5,7,6,8,
1,1,2,3,4,7,5,6,8,
1,1,2,3,4,7,5,8,6,
1,1,2,3,4,7,8,
2,1,2,3,4,7,8,5,6,
2,1,2,3,5,4,6,7,8,
1,1,2,3,5,4,6,8,7,
1,1,2,3,5,6,8,7,4,
1,1,2,3,6,5,4,7,8,
1,1,2,3,6,5,7,4,8,
4,1,2,3,7,
2,1,2,3,7,4,
2,1,2,3,7,4,5,6,8,
1,1,2,3,7,4,8,5,6,
16,1,2,3,7,8,
31,1,2,3,7,8,4,5,6,
1,1,2,3,7,8,4,6,5,
10,1,2,3,7,8,6,5,4,
2,1,2,3,8,7,4,5,6,
1,1,2,3,8,7,6,4,5,
5,1,2,3,8,7,6,5,4,
9,1,2,4,
1,1,2,4,3,
3,1,2,4,5,3,6,7,8,
1,1,2,4,5,6,3,7,8,
1,1,2,4,5,6,7,8,3,
1,1,2,4,5,7,3,6,8,
2,1,2,4,5,7,8,3,6,
1,1,2,4,7,3,6,
1,1,2,4,7,5,8,6,3,
1,1,2,5,7,4,3,6,8,
1,1,2,5,8,
3,1,2,6,
6,1,2,7,
2,1,2,7,3,8,4,5,6,
1,1,2,7,4,3,
1,1,2,7,4,8,5,
2,1,2,7,8,
3,1,2,8,
1,1,2,8,3,7,6,5,4,
1,1,2,8,4,
1,1,2,8,7,3,6,5,4,
117,1,3,
115,1,3,2,
1,1,3,2,4,
1,1,3,2,4,5,
5,1,3,2,4,5,6,7,8,
1,1,3,2,5,4,6,8,7,
1,1,3,2,7,4,8,5,6,
2,1,3,2,7,8,
2,1,3,2,7,8,4,5,6,
1,1,3,2,7,8,5,4,6,
4,1,3,2,7,8,6,5,4,
1,1,3,2,8,5,6,4,7,
2,1,3,2,8,7,4,5,6,
10,1,3,4,
1,1,3,4,2,
1,1,3,4,2,5,6,7,8,
1,1,3,4,2,5,8,6,7,
1,1,3,4,2,7,5,6,8,
2,1,3,4,5,
1,1,3,4,6,5,2,8,7,
1,1,3,4,8,5,2,7,6,
3,1,3,5,
1,1,3,5,2,4,6,7,8,
1,1,3,5,2,6,4,7,8,
1,1,3,5,4,2,6,
8,1,3,7,
1,1,3,7,2,4,5,6,8,
1,1,3,7,2,8,4,5,6,
1,1,3,7,8,2,4,5,6,
1,1,3,7,8,4,5,2,6,
2,1,3,8,
1,1,3,8,5,7,2,4,6,
95,1,4,
8,1,4,2,
1,1,4,2,3,
3,1,4,2,3,5,6,7,8,
1,1,4,2,3,7,8,5,6,
1,1,4,2,3,8,5,7,6,
1,1,4,2,5,
2,1,4,2,5,3,6,
1,1,4,2,5,3,6,7,
1,1,4,2,5,3,6,7,8,
1,1,4,2,5,3,7,6,8,
1,1,4,2,5,6,7,8,3,
1,1,4,2,5,7,3,6,8,
1,1,4,2,6,3,5,7,8,
1,1,4,2,7,3,5,6,8,
1,1,4,2,7,5,3,6,8,
1,1,4,2,7,8,5,3,6,
14,1,4,3,
2,1,4,3,2,5,6,7,8,
1,1,4,3,2,7,5,6,8,
1,1,4,3,5,2,6,
1,1,4,3,5,2,6,7,8,
1,1,4,3,5,6,2,7,8,
1,1,4,3,5,7,6,2,8,
1,1,4,3,8,2,6,5,7,
16,1,4,5,
1,1,4,5,2,
1,1,4,5,2,3,6,7,8,
1,1,4,5,2,3,7,8,6,
1,1,4,5,2,8,3,6,7,
1,1,4,5,6,
1,1,4,5,6,2,3,8,7,
1,1,4,5,6,7,
1,1,4,5,6,7,2,3,8,
2,1,4,5,6,7,8,2,3,
1,1,4,5,7,
1,1,4,5,7,8,2,3,6,
1,1,4,5,8,3,7,6,2,
2,1,4,6,
1,1,4,6,2,3,5,
2,1,4,6,2,3,5,7,8,
56,1,4,7,
1,1,4,7,2,
1,1,4,7,2,3,
3,1,4,7,2,3,5,6,8,
1,1,4,7,2,3,8,5,6,
1,1,4,7,2,5,3,8,6,
4,1,4,7,2,5,8,3,6,
1,1,4,7,3,
1,1,4,7,3,2,5,6,8,
1,1,4,7,3,5,8,6,2,
1,1,4,7,3,8,2,5,6,
1,1,4,7,5,2,8,3,6,
1,1,4,7,5,6,8,2,3,
1,1,4,7,5,8,
1,1,4,7,5,8,6,3,2,
2,1,4,7,8,5,2,3,6,
16,1,4,8,
1,1,4,8,2,3,7,5,6,
1,1,4,8,3,2,5,6,7,
1,1,4,8,3,5,7,6,2,
1,1,4,8,5,
1,1,4,8,5,7,2,3,6,
23,1,5,
1,1,5,2,
1,1,5,2,4,3,6,7,8,
2,1,5,3,
1,1,5,3,6,8,2,7,4,
1,1,5,6,
7,1,5,7,
11,1,5,8,
8,1,6,
1,1,6,3,
1,1,6,8,
48,1,7,
9,1,7,2,
2,1,7,2,3,
1,1,7,2,3,8,4,5,6,
1,1,7,2,4,3,8,5,6,
1,1,7,2,4,8,5,3,6,
1,1,7,2,8,
1,1,7,2,8,3,
2,1,7,2,8,3,4,5,6,
1,1,7,2,8,3,6,5,
1,1,7,2,8,3,6,5,4,
5,1,7,3,
1,1,7,3,2,8,4,5,6,
1,1,7,3,8,2,6,5,4,
22,1,7,4,
1,1,7,4,2,3,
1,1,7,4,2,3,5,6,8,
2,1,7,4,2,5,8,3,6,
1,1,7,4,3,8,5,2,6,
1,1,7,4,3,8,5,6,2,
1,1,7,4,5,6,3,
5,1,7,5,
1,1,7,5,3,4,8,6,2,
1,1,7,5,3,8,2,6,4,
3,1,7,6,
12,1,7,8,
1,1,7,8,2,3,
1,1,7,8,2,3,4,5,6,
1,1,7,8,3,4,5,6,2,
14,1,8,
2,1,8,2,
3,1,8,3,
4,1,8,4,
1,1,8,4,5,6,7,2,3,
1,1,8,7,2,
1,1,8,7,2,3,
1,1,8,7,2,3,4,5,6,
1,1,8,7,2,3,4,6,5,
1,1,8,7,4,5,6,2,3,
54,2,1,
74,2,1,3,
2,2,1,3,4,5,6,7,8,
1,2,1,3,4,7,5,6,8,
3,2,1,3,7,
4,2,1,3,7,8,
2,2,1,3,7,8,4,5,6,
1,2,1,3,7,8,5,4,6,
2,2,1,3,7,8,6,5,4,
2,2,1,3,8,7,4,5,6,
1,2,1,3,8,7,5,4,6,
5,2,1,4,
1,2,1,4,5,
1,2,1,4,7,3,
1,2,1,6,4,3,
2,2,1,7,3,
1,2,1,7,4,
1,2,1,7,8,3,4,5,6,
86,2,3,
57,2,3,1,
1,2,3,1,4,5,6,7,8,
1,2,3,1,5,6,
1,2,3,1,6,5,4,8,7,
1,2,3,1,6,7,
3,2,3,1,7,8,
6,2,3,1,7,8,6,5,4,
1,2,3,1,8,7,4,5,6,
1,2,3,1,8,7,6,5,4,
2,2,3,4,
1,2,3,5,4,6,1,8,7,
8,2,3,7,
1,2,3,7,4,
1,2,3,7,4,1,8,5,6,
1,2,3,7,8,1,6,5,4,
7,2,4,
1,2,4,1,
1,2,4,1,5,6,3,7,8,
1,2,4,3,
1,2,4,3,1,7,
1,2,4,5,
1,2,4,5,6,1,3,8,7,
1,2,4,5,7,
1,2,4,5,7,1,3,6,8,
1,2,4,6,5,3,7,1,8,
6,2,4,7,
4,2,4,8,
6,2,5,
1,2,5,1,
1,2,5,4,
1,2,5,6,4,3,1,
3,2,5,7,
1,2,5,7,1,6,4,3,8,
3,2,5,8,
2,2,6,
1,2,6,3,5,1,4,7,8,
1,2,6,8,
11,2,7,
1,2,7,1,5,8,6,4,3,
1,2,7,1,8,3,4,5,6,
1,2,7,3,
2,2,7,3,1,
2,2,7,3,1,8,6,5,4,
1,2,7,3,4,8,6,1,5,
1,2,7,4,
1,2,7,5,
1,2,7,8,
1,2,7,8,1,3,
1,2,7,8,4,1,3,5,6,
1,2,7,8,4,5,6,3,1,
1,2,8,
1,2,8,1,3,7,
1,2,8,3,7,1,
1,2,8,4,
1,2,8,5,
2,2,8,7,
1,3,
90,3,1,
