29,8,
3,1,2,3,4,16,17,18,19,20,21,5,6,7,8,9,10,11,12,13,14,15,26,27,28,29,22,23,24,25,
6,1,2,3,4,16,17,18,19,20,21,5,6,7,8,9,22,23,24,25,10,11,12,13,14,15,26,27,28,29,
47,1,2,3,4,16,17,18,19,20,21,5,6,7,8,9,22,23,24,25,26,27,28,29,10,11,12,13,14,15,
1,1,2,3,4,16,17,18,19,20,21,5,6,7,8,9,22,23,24,25,26,27,28,29,15,14,13,12,11,10,
1,1,2,3,4,16,17,18,19,20,21,5,6,7,8,9,26,27,28,29,
1,1,2,3,4,16,17,18,19,20,21,5,6,7,8,9,26,27,28,29,10,11,12,13,14,15,22,23,24,25,
11,1,2,3,4,16,17,18,19,20,21,5,6,7,8,9,26,27,28,29,22,23,24,25,10,11,12,13,14,15,
1,1,2,3,4,16,17,18,19,20,21,10,11,12,13,14,15,
2,1,2,3,4,16,17,18,19,20,21,10,11,12,13,14,15,5,6,7,8,9,22,23,24,25,26,27,28,29,
1,1,2,3,4,16,17,18,19,20,21,10,11,12,13,14,15,5,6,7,8,9,26,27,28,29,22,23,24,25,
1,1,2,3,4,16,17,18,19,20,21,10,11,12,13,14,15,22,23,24,25,26,27,28,29,5,6,7,8,9,
1,1,2,3,4,16,17,18,19,20,21,10,11,12,13,14,15,22,23,26,5,6,7,8,9,24,25,27,
1,1,2,3,4,16,17,18,19,20,21,10,11,12,13,14,15,26,27,28,29,5,6,7,8,9,22,23,24,25,
4,1,2,3,4,16,17,18,19,20,21,22,23,24,25,
1,1,2,3,4,16,17,18,19,20,21,22,23,24,25,5,6,7,8,9,
1,1,2,3,4,16,17,18,19,20,21,22,23,24,25,5,6,7,8,9,10,11,12,13,14,15,
6,1,2,3,4,16,17,18,19,20,21,22,23,24,25,5,6,7,8,9,10,11,12,13,14,15,26,27,28,29,
1,1,2,3,4,16,17,18,19,20,21,22,23,24,25,5,6,7,8,9,26,27,28,29,
26,1,2,3,4,16,17,18,19,20,21,22,23,24,25,5,6,7,8,9,26,27,28,29,10,11,12,13,14,15,
3,1,2,3,4,16,17,18,19,20,21,22,23,24,25,10,11,12,13,14,15,5,6,7,8,9,26,27,28,29,
1,1,2,3,4,16,17,18,19,20,21,22,23,24,25,10,11,12,13,14,15,26,27,28,29,5,6,7,8,9,
1,1,2,3,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,5,6,7,8,9,
13,1,2,3,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,5,6,7,8,9,10,11,12,13,14,15,
4,1,2,3,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,10,11,12,13,14,15,5,6,7,8,9,
1,1,2,3,4,16,17,18,19,20,21,25,24,23,22,9,8,7,6,5,26,27,28,29,15,14,13,12,11,10,
3,1,2,3,4,16,17,18,19,20,21,26,27,28,29,
3,1,2,3,4,16,17,18,19,20,21,26,27,28,29,5,6,7,8,9,10,11,12,13,14,15,22,23,24,25,
19,1,2,3,4,16,17,18,19,20,21,26,27,28,29,5,6,7,8,9,22,23,24,25,10,11,12,13,14,15,
2,1,2,3,4,16,17,18,19,20,21,26,27,28,29,10,11,12,13,14,15,
2,1,2,3,4,16,17,18,19,20,21,26,27,28,29,10,11,12,13,14,15,5,6,7,8,9,22,23,24,25,
1,1,2,3,4,16,17,18,19,20,21,26,27,28,29,10,11,12,13,14,15,22,23,24,25,5,6,7,8,9,
22,1,2,3,4,16,17,18,19,20,21,26,27,28,29,22,23,24,25,5,6,7,8,9,10,11,12,13,14,15,
3,1,2,3,4,16,17,18,19,20,21,26,27,28,29,22,23,24,25,10,11,12,13,14,15,5,6,7,8,9,
1,1,2,3,4,16,17,18,20,21,19,10,26,5,8,13,23,25,6,7,11,12,14,15,22,24,27,29,28,9,
1,1,2,3,4,16,17,18,22,19,20,21,26,10,23,24,25,27,28,29,12,13,14,15,11,5,6,7,8,9,
2,1,2,3,4,16,18,21,17,19,20,22,26,23,24,25,29,28,27,10,11,12,13,14,15,5,6,7,8,9,
1,1,2,3,4,16,22,17,18,19,20,21,23,24,25,
1,1,2,3,4,18,6,8,9,
1,1,2,3,4,18,16,22,
1,1,2,3,4,19,17,20,23,5,6,9,
1,1,2,3,4,20,18,16,5,
1,1,2,3,4,22,
19,1,2,3,4,22,23,24,25,
1,1,2,3,4,22,23,24,25,5,6,7,8,
2,1,2,3,4,22,23,24,25,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,26,27,28,29,
1,1,2,3,4,22,23,24,25,5,6,7,8,9,16,17,18,19,20,21,10,11,12,13,14,15,26,27,28,29,
5,1,2,3,4,22,23,24,25,5,6,7,8,9,16,17,18,19,20,21,26,27,28,29,10,11,12,13,14,15,
1,1,2,3,4,22,23,24,25,5,6,7,8,9,26,27,28,29,16,17,18,19,20,21,10,11,12,13,14,15,
2,1,2,3,4,22,23,24,25,10,11,12,13,14,15,5,6,7,8,9,16,17,18,19,20,21,26,27,28,29,
1,1,2,3,4,22,23,24,25,10,11,12,13,14,15,16,17,18,19,20,21,5,6,7,8,9,26,27,28,29,
1,1,2,3,4,22,23,24,25,16,17,18,19,20,21,
2,1,2,3,4,22,23,24,25,16,17,18,19,20,21,5,6,7,8,9,10,11,12,13,14,15,26,27,28,29,
5,1,2,3,4,22,23,24,25,16,17,18,19,20,21,5,6,7,8,9,26,27,28,29,10,11,12,13,14,15,
1,1,2,3,4,22,23,24,25,16,17,18,19,20,21,10,11,12,13,14,15,26,27,28,29,5,6,7,8,9,
3,1,2,3,4,22,23,24,25,16,17,18,19,20,21,26,27,28,29,5,6,7,8,9,10,11,12,13,14,15,
2,1,2,3,4,22,23,24,25,26,27,28,29,5,6,7,8,9,16,17,18,19,20,21,10,11,12,13,14,15,
1,1,2,3,4,22,23,24,25,26,27,28,29,16,17,18,19,20,21,5,6,7,8,9,10,11,12,13,14,15,
2,1,2,3,4,22,23,24,25,26,27,28,29,16,17,18,19,20,21,10,11,12,13,14,15,5,6,7,8,9,
1,1,2,3,4,22,24,25,29,19,17,21,18,
1,1,2,3,4,22,25,24,19,20,18,
1,1,2,3,4,23,24,25,22,
1,1,2,3,4,24,
1,1,2,3,4,26,18,28,17,20,29,16,19,21,27,23,25,22,9,6,
1,1,2,3,4,26,27,5,25,18,29,28,22,8,6,9,23,24,7,16,20,
31,1,2,3,4,26,27,28,29,
1,1,2,3,4,26,27,28,29,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,
1,1,2,3,4,26,27,28,29,5,6,7,8,9,10,11,12,13,14,15,22,23,24,25,16,17,18,19,20,21,
2,1,2,3,4,26,27,28,29,5,6,7,8,9,16,17,18,19,20,21,
1,1,2,3,4,26,27,28,29,5,6,7,8,9,16,17,18,19,20,21,10,11,12,13,14,15,
2,1,2,3,4,26,27,28,29,5,6,7,8,9,16,17,18,19,20,21,22,23,24,25,10,11,12,13,14,15,
1,1,2,3,4,26,27,28,29,5,6,7,8,9,22,23,24,25,
1,1,2,3,4,26,27,28,29,5,6,7,8,9,22,23,24,25,10,11,12,13,14,15,16,17,18,19,20,21,
3,1,2,3,4,26,27,28,29,5,6,7,8,9,22,23,24,25,16,17,18,19,20,21,10,11,12,13,14,15,
1,1,2,3,4,26,27,28,29,10,11,12,13,14,15,
1,1,2,3,4,26,27,28,29,10,11,12,13,14,15,16,17,18,19,20,21,5,6,7,8,9,22,23,24,25,
1,1,2,3,4,26,27,28,29,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,5,6,7,8,9,
1,1,2,3,4,26,27,28,29,10,11,12,13,14,15,22,23,24,25,16,17,18,19,20,21,5,6,7,8,9,
3,1,2,3,4,26,27,28,29,16,17,18,19,20,21,
1,1,2,3,4,26,27,28,29,16,17,18,19,20,21,5,6,7,8,9,10,11,12,13,14,15,22,23,24,25,
2,1,2,3,4,26,27,28,29,16,17,18,19,20,21,5,6,7,8,9,22,23,24,25,10,11,12,13,14,15,
2,1,2,3,4,26,27,28,29,16,17,18,19,20,21,10,11,12,13,14,15,5,6,7,8,9,22,23,24,25,
2,1,2,3,4,26,27,28,29,16,17,18,19,20,21,10,11,12,13,14,15,22,23,24,25,5,6,7,8,9,
3,1,2,3,4,26,27,28,29,16,17,18,19,20,21,22,23,24,25,5,6,7,8,9,10,11,12,13,14,15,
1,1,2,3,4,26,27,28,29,16,17,18,19,20,21,22,23,24,25,10,11,12,13,14,15,5,6,7,8,9,
1,1,2,3,4,26,27,28,29,22,23,
1,1,2,3,4,26,27,28,29,22,23,24,25,
3,1,2,3,4,26,27,28,29,22,23,24,25,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,
1,1,2,3,4,26,27,28,29,22,23,24,25,5,6,7,8,9,16,17,18,19,20,21,10,11,12,13,14,15,
3,1,2,3,4,26,27,28,29,22,23,24,25,16,17,18,19,20,21,
6,1,2,3,4,26,27,28,29,22,23,24,25,16,17,18,19,20,21,5,6,7,8,9,10,11,12,13,14,15,
1,1,2,3,4,26,27,28,29,22,23,24,25,16,17,18,19,20,21,10,11,12,13,14,15,5,6,7,8,9,
1,1,2,3,4,28,
1,1,2,3,4,29,26,27,28,
1,1,2,3,16,17,19,18,4,20,21,22,
1,1,2,3,18,22,12,26,16,17,19,20,21,
1,1,2,3,18,26,22,12,27,23,16,17,19,5,6,7,20,21,28,29,24,25,
1,1,2,3,24,4,17,18,22,21,19,20,25,23,5,9,8,7,6,16,26,27,28,29,10,11,12,13,14,15,
1,1,2,3,26,5,6,8,27,
1,1,2,3,26,27,5,6,8,
11,1,2,4,3,
1,1,2,4,3,9,
1,1,2,4,3,18,16,17,20,21,19,27,29,28,26,6,7,8,9,5,25,22,23,24,10,11,13,14,15,12,
1,1,2,4,16,
1,1,2,5,6,10,11,26,27,28,4,
1,1,2,5,22,16,9,12,26,
1,1,2,11,12,
1,1,2,16,
1,1,2,16,3,20,18,17,19,21,4,24,11,10,22,5,25,23,6,7,8,9,12,13,14,15,26,27,28,29,
1,1,2,16,17,5,6,7,8,9,3,4,18,19,20,21,26,27,28,29,10,23,24,25,22,11,12,13,14,15,
1,1,2,16,17,18,
1,1,2,16,17,22,26,3,4,
1,1,2,16,17,26,3,4,10,18,19,20,21,5,6,7,8,9,27,28,29,22,23,24,25,11,12,13,14,15,
1,1,2,16,18,3,4,
1,1,2,16,22,4,
1,1,2,16,22,26,
