29,4,
1,1,2,3,4,5,6,7,8,13,14,15,16,25,26,27,28,17,18,19,20,9,10,11,12,21,22,23,24,
1,1,2,3,4,5,6,7,8,13,14,15,16,25,26,27,28,17,18,19,20,21,22,23,24,9,10,11,12,
7,1,2,3,4,5,6,7,8,17,18,19,20,
3,1,2,3,4,5,6,7,8,17,18,19,20,9,10,11,12,21,22,23,24,25,26,27,28,13,14,15,16,
3,1,2,3,4,5,6,7,8,17,18,19,20,9,10,11,12,25,26,27,28,13,14,15,16,21,22,23,24,
1,1,2,3,4,5,6,7,8,17,18,19,20,9,10,11,12,25,26,27,28,21,22,23,24,13,14,15,16,
1,1,2,3,4,5,6,7,8,17,18,19,20,13,14,15,16,21,22,23,24,9,10,11,12,25,26,27,28,
3,1,2,3,4,5,6,7,8,17,18,19,20,13,14,15,16,25,26,27,28,21,22,23,24,9,10,11,12,
2,1,2,3,4,5,6,7,8,17,18,19,20,21,22,23,24,13,14,15,16,9,10,11,12,
2,1,2,3,4,5,6,7,8,17,18,19,20,21,22,23,24,13,14,15,16,9,10,11,12,25,26,27,28,
1,1,2,3,4,5,6,7,8,17,18,19,20,21,22,23,24,25,26,27,28,9,10,11,12,
1,1,2,3,4,5,6,7,8,17,18,19,20,21,22,23,24,25,26,27,28,9,10,11,12,13,14,15,16,
8,1,2,3,4,5,6,7,8,17,18,19,20,21,22,23,24,25,26,27,28,13,14,15,16,9,10,11,12,
7,1,2,3,4,5,6,7,8,17,18,19,20,25,26,27,28,
1,1,2,3,4,5,6,7,8,17,18,19,20,25,26,27,28,9,10,11,12,
12,1,2,3,4,5,6,7,8,17,18,19,20,25,26,27,28,9,10,11,12,13,14,15,16,21,22,23,24,
5,1,2,3,4,5,6,7,8,17,18,19,20,25,26,27,28,9,10,11,12,21,22,23,24,13,14,15,16,
6,1,2,3,4,5,6,7,8,17,18,19,20,25,26,27,28,13,14,15,16,9,10,11,12,21,22,23,24,
8,1,2,3,4,5,6,7,8,17,18,19,20,25,26,27,28,13,14,15,16,21,22,23,24,9,10,11,12,
1,1,2,3,4,5,6,7,8,17,18,19,20,25,26,27,28,21,22,23,24,
5,1,2,3,4,5,6,7,8,17,18,19,20,25,26,27,28,21,22,23,24,9,10,11,12,13,14,15,16,
1,1,2,3,4,5,6,7,8,17,18,19,20,25,26,27,28,21,22,23,24,13,14,15,16,
19,1,2,3,4,5,6,7,8,17,18,19,20,25,26,27,28,21,22,23,24,13,14,15,16,9,10,11,12,
1,1,2,3,4,5,6,7,8,17,18,19,20,25,26,27,28,29,24,22,23,12,11,10,9,16,15,14,21,13,
1,1,2,3,4,5,6,7,8,17,18,19,20,29,25,26,27,28,21,22,23,24,13,14,
1,1,2,3,4,5,6,7,8,18,19,20,13,14,15,16,9,10,11,12,25,26,27,28,29,21,22,23,24,17,
11,1,2,3,4,5,6,7,8,21,22,23,24,
1,1,2,3,4,5,6,7,8,21,22,23,24,9,10,11,12,
7,1,2,3,4,5,6,7,8,21,22,23,24,9,10,11,12,13,14,15,16,
3,1,2,3,4,5,6,7,8,21,22,23,24,9,10,11,12,13,14,15,16,17,18,19,20,25,26,27,28,
1,1,2,3,4,5,6,7,8,21,22,23,24,9,10,11,12,25,26,27,28,17,18,19,20,13,14,15,16,
1,1,2,3,4,5,6,7,8,21,22,23,24,13,14,15,16,
20,1,2,3,4,5,6,7,8,21,22,23,24,13,14,15,16,9,10,11,12,
2,1,2,3,4,5,6,7,8,21,22,23,24,13,14,15,16,9,10,11,12,17,18,19,20,25,26,27,28,
1,1,2,3,4,5,6,7,8,21,22,23,24,13,14,15,16,17,18,19,20,9,10,11,12,25,26,27,28,
1,1,2,3,4,5,6,7,8,21,22,23,24,13,14,15,16,17,18,19,20,25,26,27,28,9,10,11,12,
1,1,2,3,4,5,6,7,8,21,22,23,24,13,14,15,16,25,26,27,28,9,10,11,12,
1,1,2,3,4,5,6,7,8,21,22,23,24,13,14,15,16,25,26,27,28,17,18,19,20,9,10,11,12,
2,1,2,3,4,5,6,7,8,21,22,23,24,17,18,19,20,
1,1,2,3,4,5,6,7,8,21,22,23,24,17,18,19,20,9,10,11,12,13,14,15,16,
