12,6
45,1
5,1,2
1,1,2,3
1,1,2,3,8
1,1,2,5
1,1,2,5,4,9,6,10,8,3
1,1,2,6
1,1,2,6,4,3,8
1,1,2,6,4,12
1,1,2,6,8
1,1,2,8,5,4,6,9,10,7
1,1,2,10,5,4,8,3,9,11
1,1,2,10,8,4,9,3,11,6
1,1,2,10,9,4,8
1,1,2,10,11,7,9,5
1,1,2,11
2,1,3
1,1,3,2
8,1,3,4,5,6,8,9
1,1,3,4,9,5,7,10,6,11
1,1,3,4,9,8,6,5
1,1,3,5
1,1,3,5,9,4,10,2,8
1,1,3,5,9,8,4,10,6
1,1,3,5,11,6,2
1,1,3,8
1,1,3,8,4
1,1,3,8,4,7,9
1,1,3,8,7,11
1,1,3,8,9
1,1,3,8,9,4
1,1,3,9,4,8,7,2,5,10
1,1,3,9,5
1,1,3,11
1,1,3,11,7,5
3,1,4
1,1,4,2
1,1,4,2,5,3,9
1,1,4,2,9,3,6,5,8,11
1,1,4,5,2,8,3
2,1,4,5,8,9
1,1,4,5,8,9,6,3
1,1,4,6
1,1,4,6,5,2,10
1,1,4,6,8,7,3,2,9,11
1,1,4,6,9,3,5,10,8,7
1,1,4,6,9,5,3,8
1,1,4,6,10,2,5
1,1,4,6,10,2,9
1,1,4,6,10,5,3
1,1,4,7,11,2,5,10,3,6
2,1,4,8,6
1,1,4,8,10,3
1,1,4,9,2,7
1,1,4,9,3,8,7,2,5,6
1,1,4,9,5,8,6
1,1,4,10,5,9
11,1,5
4,1,5,2
1,1,5,2,4,8,6
2,1,5,2,6
1,1,5,2,7
1,1,5,2,7,6,11
1,1,5,2,7,11,6
1,1,5,2,11,7,6,10,9,3
2,1,5,3
1,1,5,3,6,8,9,4,2
1,1,5,3,8,9,11,4,10,2
1,1,5,3,8,11,6,4,7,2
1,1,5,4
1,1,5,4,3
4,1,5,4,3,9,6
1,1,5,4,3,9,6,2,7,10
1,1,5,4,6,2
1,1,5,4,6,3,9
1,1,5,4,9,3,8,6,11,7
1,1,5,4,9,8,3,10,2,6
1,1,5,4,10,6,8
11,1,5,6
1,1,5,6,2,3,10,11
1,1,5,6,2,8,3,9,10
2,1,5,6,3,9,4,8
1,1,5,6,4
1,1,5,6,4,8
1,1,5,6,4,9,2,10,3,8
1,1,5,6,7,3,10,2,4,8
1,1,5,6,7,8,11
1,1,5,6,8,4,9
2,1,5,6,8,9,4
1,1,5,6,8,11,4
1,1,5,6,9,4,2
1,1,5,6,9,10,3,2,7,8
1,1,5,6,9,10,3,8
1,1,5,6,10,2,4,9,7,11
1,1,5,6,11,8,3
2,1,5,7
3,1,5,8
1,1,5,8,4,3
1,1,5,8,6
2,1,5,8,6,3
1,1,5,8,6,3,2,7,10,11
2,1,5,8,6,4
1,1,5,8,10,6
1,1,5,8,11
2,1,5,9
1,1,5,9,3,6,11
1,1,5,9,4,6,8,3
1,1,5,9,6,3,11,10,2,4
1,1,5,9,6,11,10
1,1,5,10,2,3,8,6,11,4
1,1,5,10,2,7
1,1,5,10,4,2,6,9,11,8
2,1,5,10,6
2,1,5,10,6,8
5,1,5,10,8
1,1,5,10,9,2,6,4,11,8
1,1,5,11,8
5,1,6
2,1,6,2
1,1,6,2,9,4
1,1,6,2,10
1,1,6,2,10,9,3,8,4,5
1,1,6,3,5,9
1,1,6,3,8
1,1,6,3,8,10
1,1,6,4,2,5,8,11,10
1,1,6,4,3,9,8,5,10,7
1,1,6,4,8,3
1,1,6,4,8,5
1,1,6,4,9,3,8
3,1,6,5
2,1,6,5,2,8,3
1,1,6,5,3,9,10,4,11,8
1,1,6,5,4
2,1,6,5,4,3
1,1,6,5,4,8,10,11,9,3
1,1,6,5,4,9,3
1,1,6,5,4,10,2
1,1,6,5,10
3,1,6,7
1,1,6,7,5,9,3
1,1,6,7,5,11,10,2
3,1,6,8
2,1,6,8,2
2,1,6,8,2,3
1,1,6,8,2,5
1,1,6,8,3,4,9,5,7,10
1,1,6,8,5
1,1,6,8,9
1,1,6,8,9,4,10
1,1,6,8,9,11
1,1,6,8,10,3,11,2,5,4
1,1,6,8,10,7,2,9,4,11
1,1,6,8,10,7,5,4,3,11
1,1,6,9
2,1,6,9,4
1,1,6,9,4,2
1,1,6,10
1,1,6,10,5,2,7,8,4,9
1,1,6,11,8,4,9
1,1,6,11,8,9,4
2,1,7
1,1,7,2
1,1,7,3
1,1,7,3,5,10,6,8
1,1,7,6
1,1,7,8
1,1,7,8,3,9,6
1,1,7,8,4,3,9,11,10,5
2,1,7,8,6
1,1,7,10
1,1,7,10,5
1,1,7,10,5,6,8,4,9
2,1,7,10,5,6,8,4,9,3
1,1,7,10,8,3
1,1,7,10,8,4,3,9,11,2
6,1,8
1,1,8,2,10,6
1,1,8,3
2,1,8,3,2,11,5,4,10,9
1,1,8,3,6,11,4,12
1,1,8,3,7,12
1,1,8,3,10
1,1,8,4
1,1,8,4,6,2,3,5,9,11
1,1,8,4,9,6,11,3
1,1,8,5
2,1,8,5,4,11,9
1,1,8,5,7,9,6
1,1,8,5,9,3,6,4,2,7
1,1,8,5,10,6
1,1,8,6
1,1,8,6,3,4,9,10,11,5
1,1,8,6,3,5,2,9,4,10
1,1,8,6,5
2,1,8,6,5,4,3
1,1,8,6,5,9,4,3
1,1,8,6,5,11,3
1,1,8,6,9,4,3,7
1,1,8,6,11
1,1,8,6,11,9,4,10,5,3
1,1,8,7,4,9,3
1,1,8,7,6,9,3,5,4
1,1,8,10,5,2,4,9
1,1,8,10,5,2,6,4,9,3
1,1,8,11,5,4,9
3,1,9
1,1,9,2,10,11
1,1,9,3,10,5,8
2,1,9,4
1,1,9,4,6
1,1,9,4,8,3,6,10,5,7
1,1,9,4,8,3,10,2,11,6
1,1,9,5,2,8,11,6,7,10
1,1,9,5,3
1,1,9,5,6,4,3,2,8,11
1,1,9,6,2,3,5,10,7
1,1,9,6,4,5,3
1,1,9,6,10,5,3,8
1,1,9,6,12
1,1,9,8
1,1,9,8,10,4,5,3
1,1,9,10
1,1,9,10,5
1,1,10
1,1,10,2
1,1,10,2,3,5
1,1,10,2,4,5,3,8
1,1,10,2,6,3,8,4,5
1,1,10,2,7,6,11,8,5,3
1,1,10,2,7,8,11,4,9,6
1,1,10,3,2
3,1,10,3,8
1,1,10,3,8,9,4,5,7,2
1,1,10,3,11
1,1,10,4,5,6
2,1,10,5
1,1,10,5,2,3,8,7,11,6
1,1,10,5,2,6
1,1,10,5,2,6,11,8
1,1,10,5,2,6,11,9,3,8
4,1,10,5,2,7,6,11
1,1,10,5,2,8,11,4,9,3
1,1,10,5,2,9
1,1,10,5,3,2,7,8,6,11
1,1,10,5,3,2,7,8,9,4
1,1,10,5,3,2,9,6,8,11
1,1,10,5,3,8
1,1,10,5,3,8,6,11
2,1,10,5,6,7
1,1,10,5,6,9
1,1,10,5,6,9,4
1,1,10,5,6,11,2,7,4,9
1,1,10,5,7,6,11,2,3,9
1,1,10,5,9,2
1,1,10,5,9,3,6
4,1,10,6
1,1,10,6,5,11
1,1,10,6,8,3,5,9,4
1,1,10,6,9,4,2,8,5
2,1,10,7
1,1,10,7,2,6,11
1,1,10,7,3,8,9
1,1,10,7,8,6,4,3,9,2
1,1,10,8
1,1,10,8,6,4,9
1,1,10,9
1,1,10,9,4,3,5,2,8,7
1,1,10,9,6
1,1,10,9,11,4,5,2,3,7
1,1,11,2,7
