10,1,
3580,1,
53,1,2,
6,1,2,3,
4,1,2,3,4,
2,1,2,3,4,5,
1,1,2,3,4,5,6,
1,1,2,3,4,5,6,7,
1,1,2,3,4,5,6,7,8,
1,1,2,3,4,5,6,7,8,9,
79,1,2,3,4,5,6,7,8,9,10,
2,1,2,3,4,5,6,7,8,10,9,
2,1,2,3,4,5,6,7,9,8,10,
1,1,2,3,4,5,6,7,10,9,8,
1,1,2,3,4,5,6,8,7,10,9,
1,1,2,3,4,5,6,9,8,7,10,
1,1,2,3,4,5,7,8,9,10,6,
1,1,2,3,4,6,5,7,10,9,8,
2,1,2,3,5,4,6,7,8,9,10,
1,1,2,3,5,4,6,7,9,10,8,
1,1,2,3,5,4,7,6,10,9,8,
1,1,2,3,5,6,4,7,9,8,10,
1,1,2,3,5,6,7,8,9,
2,1,2,3,5,6,7,8,9,4,10,
2,1,2,3,5,6,7,8,9,10,4,
1,1,2,3,5,6,8,7,9,10,4,
1,1,2,3,6,5,4,
1,1,2,3,6,5,4,7,8,9,10,
1,1,2,3,6,5,4,7,10,8,9,
1,1,2,3,6,5,7,8,10,4,9,
1,1,2,3,6,7,8,4,5,10,9,
1,1,2,3,6,7,8,4,10,9,5,
1,1,2,3,6,7,8,5,4,10,9,
1,1,2,3,6,7,8,9,4,5,10,
1,1,2,3,6,7,8,9,5,4,10,
1,1,2,3,7,
1,1,2,3,7,4,5,6,9,8,10,
1,1,2,3,7,6,5,4,
1,1,2,3,7,6,5,8,9,10,4,
1,1,2,3,7,8,5,6,9,10,4,
1,1,2,3,8,
1,1,2,3,8,6,7,5,4,9,10,
1,1,2,3,8,7,5,4,10,6,9,
1,1,2,3,8,9,10,7,6,4,5,
1,1,2,3,9,5,6,7,8,4,10,
1,1,2,3,10,8,9,7,6,5,4,
2,1,2,4,
1,1,2,4,3,6,5,8,7,9,10,
1,1,2,4,3,8,10,7,9,6,5,
1,1,2,4,5,3,7,8,6,9,10,
2,1,2,4,6,7,5,3,8,10,9,
1,1,2,4,6,7,9,10,8,5,3,
1,1,2,4,6,8,10,7,3,5,9,
1,1,2,4,6,10,
1,1,2,4,7,8,3,6,5,9,10,
1,1,2,4,7,10,9,8,6,3,5,
1,1,2,4,8,6,5,3,7,9,10,
1,1,2,4,8,7,
1,1,2,4,10,9,6,7,8,5,3,
5,1,2,5,
1,1,2,5,3,4,6,7,8,9,10,
1,1,2,5,3,4,6,7,10,8,9,
1,1,2,5,3,4,10,6,7,8,9,
1,1,2,5,3,6,4,7,8,9,10,
1,1,2,5,3,6,8,9,7,4,10,
1,1,2,5,3,6,9,8,7,4,10,
1,1,2,5,3,8,7,4,10,9,
1,1,2,5,4,3,6,9,8,10,7,
1,1,2,5,4,3,7,6,8,10,9,
1,1,2,5,4,3,7,10,9,6,8,
1,1,2,5,4,6,7,8,3,9,10,
1,1,2,5,4,6,9,8,7,3,
1,1,2,5,6,
1,1,2,5,7,3,6,8,4,10,9,
1,1,2,5,7,8,3,4,10,9,
1,1,2,5,7,9,8,
1,1,2,5,7,9,8,10,4,3,
1,1,2,5,7,10,9,8,6,4,3,
1,1,2,5,8,3,4,6,7,9,10,
1,1,2,5,9,7,6,4,3,10,8,
1,1,2,6,
1,1,2,6,3,4,5,10,7,8,9,
1,1,2,6,3,5,7,8,9,4,10,
1,1,2,6,5,7,8,3,10,9,4,
1,1,2,6,7,8,3,10,4,5,9,
1,1,2,6,7,8,4,5,3,9,10,
1,1,2,6,7,8,9,3,4,10,5,
1,1,2,6,7,8,9,10,5,4,3,
1,1,2,6,8,
1,1,2,6,8,3,
1,1,2,6,9,8,7,3,4,10,5,
1,1,2,6,10,5,4,3,7,8,9,
4,1,2,7,
1,1,2,7,3,4,8,5,10,9,6,
1,1,2,7,3,5,8,9,4,6,10,
1,1,2,7,4,
1,1,2,7,5,
1,1,2,7,5,10,9,8,6,4,3,
1,1,2,7,6,3,5,9,10,4,8,
1,1,2,7,6,4,3,8,9,5,10,
1,1,2,7,6,5,8,10,9,4,3,
1,1,2,7,8,
1,1,2,7,8,3,4,10,9,6,5,
1,1,2,7,8,6,3,4,5,10,9,
1,1,2,7,8,9,6,10,5,4,3,
1,1,2,7,8,10,
1,1,2,7,9,5,
1,1,2,7,9,10,5,
3,1,2,8,
1,1,2,8,5,4,
1,1,2,8,6,3,4,5,7,10,9,
1,1,2,8,6,3,7,10,9,4,5,
2,1,2,8,7,
1,1,2,8,7,5,3,4,6,10,9,
1,1,2,8,7,5,6,10,4,3,9,
1,1,2,8,7,5,6,10,4,9,3,
1,1,2,8,9,3,4,6,7,5,10,
1,1,2,8,10,
1,1,2,8,10,6,7,4,3,5,9,
4,1,2,9,
1,1,2,9,7,5,3,6,4,10,8,
1,1,2,9,10,6,4,3,7,5,8,
1,1,2,9,10,8,7,6,5,4,
1,1,2,10,
1,1,2,10,4,
1,1,2,10,5,4,9,8,3,6,7,
1,1,2,10,7,6,
1,1,2,10,8,7,5,4,3,6,9,
1,1,2,10,9,7,4,5,6,3,8,
14,1,3,
2,1,3,2,
1,1,3,2,4,5,6,7,
1,1,3,2,4,5,6,7,8,9,10,
1,1,3,2,4,6,5,7,8,9,10,
1,1,3,2,5,4,
1,1,3,2,5,4,6,7,8,9,10,
