7,1,
1,1,3,7,2,6,4,5,
4,1,3,7,2,6,5,4,
1,1,3,7,4,2,
1,1,3,7,4,2,5,6,
4,1,3,7,4,2,6,5,
1,1,3,7,4,6,2,5,
3,1,3,7,4,6,5,2,
1,1,3,7,5,2,4,6,
1,1,3,7,5,4,2,6,
1,1,3,7,5,6,4,2,
1,1,3,7,6,2,4,5,
2,1,3,7,6,2,5,4,
1,1,3,7,6,4,2,5,
2,1,3,7,6,4,5,2,
2,1,3,7,6,5,2,4,
3,1,3,7,6,5,4,2,
79,1,4,
3,1,4,2,
6,1,4,2,3,5,6,7,
2,1,4,2,3,5,7,6,
1,1,4,2,3,6,7,
1,1,4,2,3,6,7,5,
1,1,4,2,3,7,5,6,
1,1,4,2,5,3,6,7,
1,1,4,2,5,6,7,3,
1,1,4,2,6,
2,1,4,2,6,3,5,7,
1,1,4,2,6,3,7,5,
1,1,4,2,6,5,3,7,
1,1,4,2,6,5,7,3,
1,1,4,2,6,7,5,3,
1,1,4,2,7,
1,1,4,2,7,3,5,6,
1,1,4,2,7,3,6,5,
1,1,4,2,7,5,3,6,
1,1,4,2,7,5,6,3,
1,1,4,2,7,6,3,5,
3,1,4,2,7,6,5,3,
5,1,4,3,2,5,6,7,
1,1,4,3,2,6,5,7,
4,1,4,3,2,7,6,5,
1,1,4,3,5,6,2,7,
1,1,4,3,6,2,5,7,
1,1,4,3,6,2,7,5,
1,1,4,3,6,7,2,
1,1,4,3,6,7,2,5,
1,1,4,3,6,7,5,2,
1,1,4,3,7,2,6,5,
1,1,4,3,7,5,6,2,
3,1,4,3,7,6,5,2,
1,1,4,5,
2,1,4,5,2,3,6,7,
2,1,4,5,2,7,6,3,
1,1,4,5,3,7,2,6,
1,1,4,5,6,3,7,2,
1,1,4,5,6,7,2,3,
1,1,4,5,7,3,2,6,
4,1,4,6,
3,1,4,6,2,3,5,7,
1,1,4,6,2,5,3,7,
1,1,4,6,3,2,7,5,
1,1,4,6,3,5,2,7,
2,1,4,6,3,7,5,2,
1,1,4,6,5,2,7,3,
1,1,4,6,5,3,2,7,
1,1,4,6,5,7,3,2,
3,1,4,6,7,2,3,5,
3,1,4,6,7,3,2,
2,1,4,6,7,3,2,5,
1,1,4,6,7,3,5,2,
1,1,4,6,7,5,2,3,
2,1,4,6,7,5,3,2,
9,1,4,7,
2,1,4,7,2,
1,1,4,7,2,3,
1,1,4,7,2,3,5,
5,1,4,7,2,3,5,6,
9,1,4,7,2,3,6,5,
1,1,4,7,2,5,6,3,
1,1,4,7,2,6,3,
1,1,4,7,3,2,5,6,
1,1,4,7,3,2,6,5,
1,1,4,7,3,5,6,2,
1,1,4,7,3,6,2,5,
1,1,4,7,3,6,5,2,
1,1,4,7,5,2,6,3,
